dataset,sample,topic,frame_offset,timestamp_ns,cluster_id,point_count,voxel_count,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,bbox_center_x_m,bbox_center_y_m,bbox_center_z_m,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_volume_m3
ARCO,TrafficMonitoring,/ouster/points,0,1716472545485597764,0,325,18,3.3782,-3.3052,-0.4442,4.1435,-2.3522,0.9383,3.7609,-2.8287,0.247,0.7652,0.953,1.3824,1.0082
ARCO,TrafficMonitoring,/ouster/points,0,1716472545485597764,1,249,46,1.0231,-11.8501,1.8442,4.0282,-10.4061,3.9076,2.5256,-11.1281,2.8759,3.005,1.444,2.0635,8.9538
ARCO,TrafficMonitoring,/ouster/points,0,1716472545485597764,2,172,50,7.6746,-9.9425,2.2294,12.476,-7.6835,3.9405,10.0753,-8.813,3.0849,4.8014,2.259,1.7111,18.5596
ARCO,TrafficMonitoring,/ouster/points,0,1716472545485597764,3,89,39,1.1252,10.7723,-0.071,3.1412,11.9634,3.9978,2.1332,11.3678,1.9634,2.016,1.1911,4.0688,9.7703
ARCO,TrafficMonitoring,/ouster/points,223,1716472570182754379,0,607,7,1.0019,-0.1918,-0.0089,1.7631,0.8462,0.6701,1.3825,0.3272,0.3306,0.7613,1.038,0.679,0.5366
ARCO,TrafficMonitoring,/ouster/points,223,1716472570182754379,1,309,64,1.0257,-11.8524,2.1622,6.378,-9.7658,3.9067,3.7018,-10.8091,3.0344,5.3522,2.0867,1.7445,19.4825
ARCO,TrafficMonitoring,/ouster/points,223,1716472570182754379,2,283,17,3.3642,-3.3192,-0.3511,4.1229,-2.3536,0.934,3.7435,-2.8364,0.2914,0.7587,0.9656,1.2851,0.9414
ARCO,TrafficMonitoring,/ouster/points,223,1716472570182754379,3,131,38,8.861,-8.9759,2.283,12.4256,-7.6524,3.9632,10.6433,-8.3142,3.1231,3.5646,1.3235,1.6801,7.9262
ARCO,TrafficMonitoring,/ouster/points,223,1716472570182754379,4,54,24,1.3054,10.7546,1.9664,2.8721,11.9579,3.9941,2.0888,11.3563,2.9802,1.5667,1.2032,2.0277,3.8224
ARCO,TrafficMonitoring,/ouster/points,446,1716472593982393806,0,573,4,1.0001,-0.0467,-0.0071,1.3,0.3602,0.4608,1.15,0.1567,0.2269,0.2999,0.4069,0.4679,0.0571
ARCO,TrafficMonitoring,/ouster/points,446,1716472593982393806,1,319,62,1.0202,-11.8139,1.8301,5.2624,-10.0061,3.8939,3.1413,-10.91,2.862,4.2422,1.8079,2.0638,15.8282
ARCO,TrafficMonitoring,/ouster/points,446,1716472593982393806,2,145,9,3.4275,-2.7636,-0.3508,4.1352,-2.3156,0.9366,3.7814,-2.5396,0.2929,0.7077,0.4481,1.2874,0.4082
ARCO,TrafficMonitoring,/ouster/points,446,1716472593982393806,3,54,24,1.2713,10.7185,1.9695,2.8613,11.9055,3.9927,2.0663,11.312,2.9811,1.5901,1.187,2.0232,3.8187
ARCO,TrafficMonitoring,/ouster/points,669,1716472618381041589,0,473,7,1.106,-0.0517,-0.0072,1.4797,0.2784,0.4705,1.2929,0.1133,0.2317,0.3737,0.3301,0.4777,0.0589
ARCO,TrafficMonitoring,/ouster/points,669,1716472618381041589,1,352,81,1.0499,-11.8273,1.8233,7.2596,-9.3668,3.9612,4.1547,-10.5971,2.8922,6.2098,2.4605,2.1379,32.6656
ARCO,TrafficMonitoring,/ouster/points,669,1716472618381041589,2,144,12,3.3774,-3.2926,-0.4368,3.7103,-2.5431,0.6849,3.5438,-2.9178,0.1241,0.3329,0.7495,1.1217,0.2799
ARCO,TrafficMonitoring,/ouster/points,669,1716472618381041589,3,56,24,1.242,10.6319,2.0117,2.8592,11.9889,3.9869,2.0506,11.3104,2.9993,1.6172,1.357,1.9752,4.3349
ARCO,TrafficMonitoring,/ouster/points,892,1716472642880613527,0,830,10,1.0033,-0.531,-0.1765,1.4076,0.6149,0.5709,1.2054,0.042,0.1972,0.4043,1.1458,0.7474,0.3463
ARCO,TrafficMonitoring,/ouster/points,892,1716472642880613527,1,133,13,3.4008,-3.2932,-0.3808,3.8151,-2.5859,0.6841,3.608,-2.9396,0.1517,0.4143,0.7074,1.0648,0.3121
ARCO,TrafficMonitoring,/ouster/points,892,1716472642880613527,2,52,23,1.3091,10.7092,2.0098,2.803,11.9773,3.9941,2.056,11.3433,3.0019,1.4939,1.2681,1.9843,3.7591
ARCO,TrafficMonitoring,/ouster/points,1116,1716472667180622200,0,333,19,3.3843,-3.3448,-0.4485,4.1501,-2.3468,0.9394,3.7672,-2.8458,0.2454,0.7657,0.998,1.3879,1.0606
ARCO,TrafficMonitoring,/ouster/points,1116,1716472667180622200,1,234,51,1.0218,-11.8064,1.8311,4.1788,-10.4061,3.9051,2.6003,-11.1063,2.8681,3.157,1.4003,2.074,9.1684
ARCO,TrafficMonitoring,/ouster/points,1116,1716472667180622200,2,182,53,7.5125,-10.0138,2.2343,12.4432,-7.6633,3.9578,9.9779,-8.8385,3.096,4.9307,2.3505,1.7236,19.9753
ARCO,TrafficMonitoring,/ouster/points,1116,1716472667180622200,3,57,24,1.3045,10.5597,2.2637,2.8704,11.9519,3.988,2.0875,11.2558,3.1258,1.5659,1.3922,1.7243,3.7591
ARCO,TrafficMonitoring,/ouster/points,1116,1716472667180622200,4,45,7,1.0022,2.6974,-0.4465,1.7388,4.4362,-0.358,1.3705,3.5668,-0.4022,0.7365,1.7387,0.0886,0.1134
