dataset,sample,archive,db3,db_size_gib,duration_s_estimated,topic_id,topic_name,topic_type,message_count
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,1,/tf_static,tf2_msgs/msg/TFMessage,6
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,2,/ouster/points,sensor_msgs/msg/PointCloud2,1860
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,3,/tf,tf2_msgs/msg/TFMessage,6442
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,4,/ouster/imu,sensor_msgs/msg/Imu,19373
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,5,/Status,ars548_messages/msg/Status,3869
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,6,/PointCloudObject,sensor_msgs/msg/PointCloud2,3875
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,7,/PointCloudDetection,sensor_msgs/msg/PointCloud2,3875
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,8,/ObjectList,ars548_messages/msg/ObjectList,3875
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,9,/arco/idmind_imu/imu,sensor_msgs/msg/Imu,13179
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,10,/DirectionVelocity,geometry_msgs/msg/PoseArray,3875
ARCO,Trajectory1,/workspace/data/arco/Trajectory1.zip,data/processed/arco_rosbag_probe/Trajectory1/Trayectory1/rosbag2_2024_05_23-15_43_25_0.db3,2.9765,193.7469,11,/DetectionList,ars548_messages/msg/DetectionList,3875
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,1,/tf_static,tf2_msgs/msg/TFMessage,6
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,2,/ouster/points,sensor_msgs/msg/PointCloud2,2083
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,3,/tf,tf2_msgs/msg/TFMessage,7229
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,4,/ouster/imu,sensor_msgs/msg/Imu,21605
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,5,/Status,ars548_messages/msg/Status,4307
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,6,/PointCloudObject,sensor_msgs/msg/PointCloud2,4321
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,7,/PointCloudDetection,sensor_msgs/msg/PointCloud2,4321
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,8,/ObjectList,ars548_messages/msg/ObjectList,4321
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,9,/arco/idmind_imu/imu,sensor_msgs/msg/Imu,14721
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,10,/DirectionVelocity,geometry_msgs/msg/PoseArray,4321
ARCO,Trajectory2,/workspace/data/arco/Trajectory2.zip,data/processed/arco_rosbag_probe/Trajectory2/Trayectory2/rosbag2_2024_05_23-15_49_39_0.db3,3.3464,216.0559,11,/DetectionList,ars548_messages/msg/DetectionList,4321
