source,sensor_model,planner,width,height,occupied_cells,waypoints,path_length_m,min_clearance_m,collision_free_after_inflation,reached_goal,compute_time_ms,status,error
sgm_depth_forest,AvoidBench /depth SGM-like metric depth,astar,84,80,542,69,7.877,0.5828,1,1,22.3423,ok,
sgm_depth_forest,AvoidBench /depth SGM-like metric depth,rrt,84,80,542,10,8.0504,0.7,1,1,41.0055,ok,
sgm_depth_forest,AvoidBench /depth SGM-like metric depth,mppi,84,80,542,60,7.7231,0.6,1,1,31.2353,ok,
sgm_depth_forest,AvoidBench /depth SGM-like metric depth,mpc,84,80,542,80,7.7177,0.5828,1,1,104.5255,ok,
unity_depth_indoor,AvoidBench Unity depth / ideal depth,astar,84,80,651,67,8.174,0.5828,1,1,27.9783,ok,
unity_depth_indoor,AvoidBench Unity depth / ideal depth,rrt,84,80,651,14,8.8074,0.6,1,1,26.8273,ok,
unity_depth_indoor,AvoidBench Unity depth / ideal depth,mppi,84,80,651,60,7.9479,0.5828,1,1,37.1548,ok,
unity_depth_indoor,AvoidBench Unity depth / ideal depth,mpc,84,80,651,80,7.9555,0.5828,1,1,148.677,ok,
monocular_relative_depth_proxy,RGB monocular-depth proxy,astar,84,80,55,75,7.9385,0.5414,1,1,4.6186,ok,
monocular_relative_depth_proxy,RGB monocular-depth proxy,rrt,84,80,55,6,7.8549,0.5414,1,1,2.6051,ok,
monocular_relative_depth_proxy,RGB monocular-depth proxy,mppi,84,80,55,60,7.8125,0.5414,1,1,13.933,ok,
monocular_relative_depth_proxy,RGB monocular-depth proxy,mpc,84,80,55,80,7.8195,0.5414,1,1,10.3375,ok,
stereo_depth_plus_rgb_mask_mux,SGM depth + RGB/relative mask fusion,astar,86,82,586,83,8.987,0.5414,1,1,25.1362,ok,
stereo_depth_plus_rgb_mask_mux,SGM depth + RGB/relative mask fusion,rrt,86,82,586,20,9.849,0.5414,1,1,24.3684,ok,
stereo_depth_plus_rgb_mask_mux,SGM depth + RGB/relative mask fusion,mppi,86,82,586,60,8.7034,0.5414,1,1,34.6156,ok,
stereo_depth_plus_rgb_mask_mux,SGM depth + RGB/relative mask fusion,mpc,86,82,586,80,8.7003,0.5414,1,1,54.6907,ok,
pointcloud_bbox_export,pointcloud -> 3D bbox -> costmap adapter,astar,88,72,626,85,18.6225,0.7657,1,1,14.1488,ok,
pointcloud_bbox_export,pointcloud -> 3D bbox -> costmap adapter,rrt,88,72,626,41,21.3582,0.8,1,1,16.8286,ok,
pointcloud_bbox_export,pointcloud -> 3D bbox -> costmap adapter,mppi,88,72,626,60,18.4136,0.7657,1,1,23.6982,ok,
pointcloud_bbox_export,pointcloud -> 3D bbox -> costmap adapter,mpc,88,72,626,80,18.3985,0.7657,1,1,148.3864,ok,
