stress_case,sensor_model,planner,sensor_occupied_cells,gt_occupied_cells,waypoints,path_length_m,gt_min_clearance_m,gt_collision_free_after_inflation,reached_goal,compute_time_ms,status,note,error
clean_depth_gt,"metric depth costmap, no corruption",astar,645,645,83,10.851,0.4828,1,1,29.6918,safe,Control case; planner sees the same map used for evaluation.,
clean_depth_gt,"metric depth costmap, no corruption",rrt,645,645,25,12.4042,0.5,1,1,35.1963,safe,Control case; planner sees the same map used for evaluation.,
clean_depth_gt,"metric depth costmap, no corruption",mppi,645,645,60,10.7336,0.4828,1,1,39.0043,safe,Control case; planner sees the same map used for evaluation.,
clean_depth_gt,"metric depth costmap, no corruption",mpc,645,645,80,10.7302,0.4828,1,1,196.838,safe,Control case; planner sees the same map used for evaluation.,
depth_dropout_speckle,SGM depth with false negatives and speckle,astar,309,645,97,11.9196,0.3414,0,1,21.1092,unsafe_gt,58% occupied-cell dropout plus sparse false positives.,
depth_dropout_speckle,SGM depth with false negatives and speckle,rrt,309,645,33,13.7277,0.4414,0,1,26.5625,unsafe_gt,58% occupied-cell dropout plus sparse false positives.,
depth_dropout_speckle,SGM depth with false negatives and speckle,mppi,309,645,60,11.4941,0.3828,0,1,31.4454,unsafe_gt,58% occupied-cell dropout plus sparse false positives.,
depth_dropout_speckle,SGM depth with false negatives and speckle,mpc,309,645,80,11.498,0.3828,0,1,48.7821,unsafe_gt,58% occupied-cell dropout plus sparse false positives.,
blind_central_obstacle,sensor miss: central obstacle absent from costmap,astar,470,645,83,10.851,0.4828,1,1,24.1442,safe,Planner map misses the first blocking obstacle; evaluated against ground truth.,
blind_central_obstacle,sensor miss: central obstacle absent from costmap,rrt,470,645,27,13.1393,0.4414,0,1,37.1655,unsafe_gt,Planner map misses the first blocking obstacle; evaluated against ground truth.,
blind_central_obstacle,sensor miss: central obstacle absent from costmap,mppi,470,645,60,10.7336,0.4828,1,1,34.689,safe,Planner map misses the first blocking obstacle; evaluated against ground truth.,
blind_central_obstacle,sensor miss: central obstacle absent from costmap,mpc,470,645,80,10.7302,0.4828,1,1,177.6708,safe,Planner map misses the first blocking obstacle; evaluated against ground truth.,
limited_range_fov,depth range limit; far obstacle unseen,astar,431,645,84,9.5841,0.0,0,1,19.4341,unsafe_gt,Only near-depth obstacles are visible; later obstacle is hidden.,
limited_range_fov,depth range limit; far obstacle unseen,rrt,431,645,25,12.4042,0.5,1,1,28.5697,safe,Only near-depth obstacles are visible; later obstacle is hidden.,
limited_range_fov,depth range limit; far obstacle unseen,mppi,431,645,60,9.3591,0.0,0,1,33.452,unsafe_gt,Only near-depth obstacles are visible; later obstacle is hidden.,
limited_range_fov,depth range limit; far obstacle unseen,mpc,431,645,80,9.3567,0.0,0,1,160.8233,unsafe_gt,Only near-depth obstacles are visible; later obstacle is hidden.,
pose_shift_40cm,costmap shifted by pose/calibration error,astar,645,645,81,10.4024,0.1,0,1,27.9276,unsafe_gt,Obstacle evidence is shifted +0.40 m in y before planning.,
pose_shift_40cm,costmap shifted by pose/calibration error,rrt,645,645,24,12.7631,0.4414,0,1,33.9186,unsafe_gt,Obstacle evidence is shifted +0.40 m in y before planning.,
pose_shift_40cm,costmap shifted by pose/calibration error,mppi,645,645,60,10.3034,0.1,0,1,38.8318,unsafe_gt,Obstacle evidence is shifted +0.40 m in y before planning.,
pose_shift_40cm,costmap shifted by pose/calibration error,mpc,645,645,80,10.2944,0.1,0,1,236.1949,unsafe_gt,Obstacle evidence is shifted +0.40 m in y before planning.,
false_positive_clutter,extra RGB/depth false-positive obstacles,astar,1067,645,110,12.8468,0.5,1,1,50.6614,safe,Planner sees extra obstacles that do not exist in ground truth.,
false_positive_clutter,extra RGB/depth false-positive obstacles,rrt,1067,645,0,0.0,nan,0,0,113.9371,planner_failed,Planner sees extra obstacles that do not exist in ground truth.,RRT failed to find a path
false_positive_clutter,extra RGB/depth false-positive obstacles,mppi,1067,645,60,12.5464,0.5,1,1,51.6895,safe,Planner sees extra obstacles that do not exist in ground truth.,
false_positive_clutter,extra RGB/depth false-positive obstacles,mpc,1067,645,80,12.5567,0.5,1,1,238.9233,safe,Planner sees extra obstacles that do not exist in ground truth.,
narrow_gate_clean,clean depth but narrow gates,astar,1017,1017,87,9.3456,0.4828,1,1,84.2753,safe,Hard geometry with gate-like passages; tests inflation sensitivity.,
narrow_gate_clean,clean depth but narrow gates,rrt,1017,1017,26,10.2688,0.4414,1,1,62.0721,safe,Hard geometry with gate-like passages; tests inflation sensitivity.,
narrow_gate_clean,clean depth but narrow gates,mppi,1017,1017,60,9.249,0.4828,1,1,41.8047,safe,Hard geometry with gate-like passages; tests inflation sensitivity.,
narrow_gate_clean,clean depth but narrow gates,mpc,1017,1017,80,9.2381,0.4828,1,1,136.8404,safe,Hard geometry with gate-like passages; tests inflation sensitivity.,
