sequence,obstacles,min_center_distance_m,min_boundary_clearance_m,closest_time_s,closest_index,closest_obstacle_index,collision,safety_violation,safety_distance_m,path_length_m,duration_s,mean_speed_mps,avoidance_label,computation_time_ms,method,planner_compute_time_ms,waypoint_count,smoothness_heading_change,safe_count,warning_count,danger_count,collision_count,future_risk_count,danger_or_collision_rate,future_risk_rate
3,1,0.6348,0.4348,6.425,514,0,0,1,0.5,6.9385,8.925,0.7774,left,0.1483,human,0.0,715,0.073637,597,75,43,0,123,0.0601,0.172
3,1,0.6922,0.4922,6.0625,485,0,0,1,0.5,6.8388,8.925,0.7663,left,0.0748,straight_line,2.4145,2,0.0,564,129,22,0,102,0.0308,0.1427
3,1,0.9435,0.7435,6.1875,495,0,0,0,0.5,6.861,8.925,0.7687,left,0.0647,geometric_bypass,5.188,3,3.8e-05,631,84,0,0,0,0.0,0.0
3,1,0.712,0.512,6.0375,483,0,0,0,0.5,6.8,8.925,0.7619,left,0.0635,astar_grid,3.9523,69,0.0,568,147,0,0,0,0.0,0.0
3,1,0.7492,0.5492,6.1,488,0,0,0,0.5,6.8862,8.925,0.7716,left,0.0635,rrt,7.9051,3,0.000212,578,137,0,0,0,0.0,0.0
3,1,0.7026,0.5026,6.0625,485,0,0,0,0.5,6.8396,8.925,0.7663,left,0.0619,rrt_star,1938.2281,6,8e-06,566,149,0,0,0,0.0,0.0
3,1,0.9435,0.7435,6.1875,495,0,0,0,0.5,6.861,8.925,0.7687,left,0.0602,mppi,48.8669,60,3.6e-05,631,84,0,0,0,0.0,0.0
10,1,1.03,0.83,9.325,746,0,0,0,0.5,7.2208,14.425,0.5006,left,0.1372,human,0.0,1155,0.340915,1155,0,0,0,0,0.0,0.0
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0958,straight_line,3.9944,2,0.0,1070,85,0,0,0,0.0,0.0
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.107,geometric_bypass_not_needed,3.9788,2,0.0,1070,85,0,0,0,0.0,0.0
10,1,1.0,0.8,10.6875,855,0,0,0,0.5,6.4529,14.425,0.4473,left,0.1288,astar_grid,11.9616,61,0.003132,1155,0,0,0,0,0.0,0.0
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.137,rrt,4.1381,2,0.0,1070,85,0,0,0,0.0,0.0
