sequence,model_id,frames,duration_s,batch_size,wall_seconds,inference_seconds,seconds_per_frame,inference_seconds_per_frame,output
3,depth-anything/Depth-Anything-V2-Small-hf,44,8.925,8,3.4416,1.1158,0.078218,0.025358,data/processed/depth_anything_v2_small_50/3/depth_5fps.npz
10,depth-anything/Depth-Anything-V2-Small-hf,72,14.425,8,4.4686,1.2351,0.062065,0.017154,data/processed/depth_anything_v2_small_50/10/depth_5fps.npz
1,depth-anything/Depth-Anything-V2-Small-hf,60,12.05,8,3.7381,1.0311,0.062302,0.017185,data/processed/depth_anything_v2_small_50/1/depth_5fps.npz
2,depth-anything/Depth-Anything-V2-Small-hf,49,9.825,8,3.1489,0.8673,0.064264,0.0177,data/processed/depth_anything_v2_small_50/2/depth_5fps.npz
4,depth-anything/Depth-Anything-V2-Small-hf,74,14.8125,8,4.6074,1.2769,0.062262,0.017255,data/processed/depth_anything_v2_small_50/4/depth_5fps.npz
5,depth-anything/Depth-Anything-V2-Small-hf,59,11.975,8,3.7174,1.0235,0.063007,0.017348,data/processed/depth_anything_v2_small_50/5/depth_5fps.npz
6,depth-anything/Depth-Anything-V2-Small-hf,58,11.6,8,3.7448,1.002,0.064566,0.017276,data/processed/depth_anything_v2_small_50/6/depth_5fps.npz
7,depth-anything/Depth-Anything-V2-Small-hf,38,7.6,8,2.4472,0.6483,0.064401,0.017061,data/processed/depth_anything_v2_small_50/7/depth_5fps.npz
8,depth-anything/Depth-Anything-V2-Small-hf,53,10.7375,8,3.2931,0.9028,0.062134,0.017034,data/processed/depth_anything_v2_small_50/8/depth_5fps.npz
9,depth-anything/Depth-Anything-V2-Small-hf,49,9.8375,8,3.0859,0.8444,0.062978,0.017232,data/processed/depth_anything_v2_small_50/9/depth_5fps.npz
11,depth-anything/Depth-Anything-V2-Small-hf,73,14.725,8,4.5886,1.2408,0.062857,0.016998,data/processed/depth_anything_v2_small_50/11/depth_5fps.npz
12,depth-anything/Depth-Anything-V2-Small-hf,42,8.4375,8,2.6513,0.7182,0.063126,0.017099,data/processed/depth_anything_v2_small_50/12/depth_5fps.npz
13,depth-anything/Depth-Anything-V2-Small-hf,53,10.7125,8,3.297,0.9161,0.062208,0.017284,data/processed/depth_anything_v2_small_50/13/depth_5fps.npz
14,depth-anything/Depth-Anything-V2-Small-hf,49,9.825,8,3.1293,0.8527,0.063863,0.017401,data/processed/depth_anything_v2_small_50/14/depth_5fps.npz
15,depth-anything/Depth-Anything-V2-Small-hf,28,5.6,8,1.816,0.484,0.064859,0.017285,data/processed/depth_anything_v2_small_50/15/depth_5fps.npz
16,depth-anything/Depth-Anything-V2-Small-hf,55,11.0875,8,3.4935,0.9686,0.063518,0.01761,data/processed/depth_anything_v2_small_50/16/depth_5fps.npz
17,depth-anything/Depth-Anything-V2-Small-hf,47,9.4,8,2.9246,0.8123,0.062226,0.017283,data/processed/depth_anything_v2_small_50/17/depth_5fps.npz
18,depth-anything/Depth-Anything-V2-Small-hf,45,9.0875,8,2.8824,0.7653,0.064052,0.017007,data/processed/depth_anything_v2_small_50/18/depth_5fps.npz
19,depth-anything/Depth-Anything-V2-Small-hf,50,10.15,8,3.1418,0.8617,0.062836,0.017233,data/processed/depth_anything_v2_small_50/19/depth_5fps.npz
20,depth-anything/Depth-Anything-V2-Small-hf,50,10.0125,8,3.1549,0.8525,0.063097,0.01705,data/processed/depth_anything_v2_small_50/20/depth_5fps.npz
21,depth-anything/Depth-Anything-V2-Small-hf,52,10.45,8,3.3692,0.8996,0.064793,0.0173,data/processed/depth_anything_v2_small_50/21/depth_5fps.npz
22,depth-anything/Depth-Anything-V2-Small-hf,50,10.075,8,3.1165,0.8667,0.062329,0.017333,data/processed/depth_anything_v2_small_50/22/depth_5fps.npz
23,depth-anything/Depth-Anything-V2-Small-hf,65,13.0875,8,4.0347,1.1264,0.062072,0.017329,data/processed/depth_anything_v2_small_50/23/depth_5fps.npz
24,depth-anything/Depth-Anything-V2-Small-hf,61,12.2125,8,3.7966,1.0566,0.06224,0.017322,data/processed/depth_anything_v2_small_50/24/depth_5fps.npz
