sequence,model_id,frames,duration_s,batch_size,wall_seconds,inference_seconds,seconds_per_frame,inference_seconds_per_frame,output
3,Intel/dpt-hybrid-midas,44,8.925,8,4.4922,2.1891,0.102096,0.049753,data/processed/depth_batch_dpt_20/3/depth_5fps.npz
10,Intel/dpt-hybrid-midas,72,14.425,8,6.3779,2.9846,0.088582,0.041453,data/processed/depth_batch_dpt_20/10/depth_5fps.npz
1,Intel/dpt-hybrid-midas,60,12.05,8,5.4197,2.4932,0.090328,0.041553,data/processed/depth_batch_dpt_20/1/depth_5fps.npz
2,Intel/dpt-hybrid-midas,49,9.825,8,4.2975,2.0769,0.087705,0.042386,data/processed/depth_batch_dpt_20/2/depth_5fps.npz
4,Intel/dpt-hybrid-midas,74,14.8125,8,6.4564,3.1081,0.087249,0.042001,data/processed/depth_batch_dpt_20/4/depth_5fps.npz
5,Intel/dpt-hybrid-midas,59,11.975,8,5.1683,2.497,0.087598,0.042322,data/processed/depth_batch_dpt_20/5/depth_5fps.npz
6,Intel/dpt-hybrid-midas,58,11.6,8,5.1044,2.4212,0.088007,0.041744,data/processed/depth_batch_dpt_20/6/depth_5fps.npz
7,Intel/dpt-hybrid-midas,38,7.6,8,3.2811,1.599,0.086346,0.04208,data/processed/depth_batch_dpt_20/7/depth_5fps.npz
8,Intel/dpt-hybrid-midas,53,10.7375,8,4.612,2.2227,0.087019,0.041938,data/processed/depth_batch_dpt_20/8/depth_5fps.npz
9,Intel/dpt-hybrid-midas,49,9.8375,8,4.2882,2.0558,0.087514,0.041956,data/processed/depth_batch_dpt_20/9/depth_5fps.npz
345,Intel/dpt-hybrid-midas,61,12.325,8,5.317,2.5509,0.087165,0.041818,data/processed/depth_batch_dpt_20/345/depth_5fps.npz
184,Intel/dpt-hybrid-midas,48,9.662,8,4.271,1.9973,0.08898,0.04161,data/processed/depth_batch_dpt_20/184/depth_5fps.npz
185,Intel/dpt-hybrid-midas,59,11.8451,8,5.164,2.4753,0.087525,0.041954,data/processed/depth_batch_dpt_20/185/depth_5fps.npz
186,Intel/dpt-hybrid-midas,58,11.6056,8,5.1446,2.4284,0.0887,0.041869,data/processed/depth_batch_dpt_20/186/depth_5fps.npz
187,Intel/dpt-hybrid-midas,53,10.6338,8,4.5828,2.2217,0.086468,0.04192,data/processed/depth_batch_dpt_20/187/depth_5fps.npz
188,Intel/dpt-hybrid-midas,58,11.6479,8,5.0691,2.4312,0.087398,0.041918,data/processed/depth_batch_dpt_20/188/depth_5fps.npz
189,Intel/dpt-hybrid-midas,59,11.8873,8,5.2726,2.4784,0.089366,0.042007,data/processed/depth_batch_dpt_20/189/depth_5fps.npz
190,Intel/dpt-hybrid-midas,53,10.7887,8,4.731,2.2297,0.089265,0.042069,data/processed/depth_batch_dpt_20/190/depth_5fps.npz
191,Intel/dpt-hybrid-midas,40,8.1831,8,3.5107,1.6787,0.087767,0.041969,data/processed/depth_batch_dpt_20/191/depth_5fps.npz
192,Intel/dpt-hybrid-midas,51,10.2958,8,4.3949,2.1541,0.086174,0.042238,data/processed/depth_batch_dpt_20/192/depth_5fps.npz
