sequence,case_id,time_s,planner,map_source,model_id,device,platform,machine,occupancy_iou,depth_obstacle_components,gt_obstacles,depth_inference_ms,occupancy_update_ms,planner_time_ms,total_perception_planning_ms,min_clearance_m,collision_count,violation_count,status,planner_failed,failure_reason
1,0,0.0,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,73.332,118.126,0.271,401.729,4.2457,0,0,safe,0,
1,0,0.0,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,73.332,118.126,0.352,401.81,4.2457,0,0,safe,0,
1,0,0.0,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,73.332,118.126,7.748,409.206,4.2457,0,0,safe,0,
1,1,3.8,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0538,1,1,73.332,0.345,56.687,340.363,1.3291,1,1,collision,1,RRT failed to find a path
1,1,3.8,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0538,1,1,73.332,0.345,95.357,379.034,1.3291,1,1,collision,1,RRT* failed to find a path
1,1,3.8,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0538,1,1,73.332,0.345,5.746,289.422,1.3291,0,0,safe,0,
1,2,7.8,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0345,1,1,73.332,0.282,2.472,286.085,1.5948,0,0,safe,0,
1,2,7.8,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0345,1,1,73.332,0.282,121.998,405.612,0.9015,0,0,safe,0,
1,2,7.8,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0345,1,1,73.332,0.282,5.901,289.514,0.779,0,0,safe,0,
1,3,11.8,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0829,1,1,73.332,0.278,1.257,284.867,0.5543,0,0,safe,0,
1,3,11.8,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0829,1,1,73.332,0.278,132.382,415.992,0.849,0,0,safe,0,
1,3,11.8,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0829,1,1,73.332,0.278,5.73,289.339,0.7132,0,0,safe,0,
2,0,0.0,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,69.665,0.288,0.246,280.199,4.6158,0,0,safe,0,
2,0,0.0,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,69.665,0.288,0.228,280.182,4.6158,0,0,safe,0,
2,0,0.0,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,69.665,0.288,5.502,285.455,4.6158,0,0,safe,0,
2,1,3.2,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0405,1,1,69.665,0.282,0.235,280.181,2.0772,0,0,safe,0,
2,1,3.2,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0405,1,1,69.665,0.282,0.233,280.179,2.0772,0,0,safe,0,
2,1,3.2,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0405,1,1,69.665,0.282,5.351,285.298,2.0772,0,0,safe,0,
2,2,6.4,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0149,1,1,69.665,0.25,0.235,280.15,1.7428,0,0,safe,0,
2,2,6.4,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0149,1,1,69.665,0.25,0.237,280.151,1.7428,0,0,safe,0,
2,2,6.4,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0149,1,1,69.665,0.25,5.343,285.258,1.7428,0,0,safe,0,
2,3,9.6,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,69.665,0.332,2.93,282.927,2.2085,0,0,safe,0,
2,3,9.6,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,69.665,0.332,124.482,404.479,2.2085,0,0,safe,0,
2,3,9.6,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,69.665,0.332,5.572,285.569,2.2085,0,0,safe,0,
3,0,0.0,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.308,0.237,279.534,3.8147,0,0,safe,0,
3,0,0.0,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.308,0.224,279.521,3.8147,0,0,safe,0,
3,0,0.0,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.308,5.504,284.801,3.8147,0,0,safe,0,
3,1,2.8,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0414,1,1,68.989,0.272,0.26,279.521,0.1273,0,1,violation,0,
3,1,2.8,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0414,1,1,68.989,0.272,0.246,279.508,0.1273,0,1,violation,0,
3,1,2.8,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0414,1,1,68.989,0.272,5.245,284.506,0.1273,0,1,violation,0,
3,2,5.6,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.326,0.233,279.548,0.4736,0,1,violation,0,
3,2,5.6,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.326,0.223,279.538,0.4736,0,1,violation,0,
3,2,5.6,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.326,5.424,284.738,0.4736,0,1,violation,0,
3,3,8.6,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.271,5.516,284.776,2.0542,0,0,safe,0,
3,3,8.6,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.271,109.937,389.197,2.0542,0,0,safe,0,
3,3,8.6,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,68.989,0.271,5.877,285.138,2.0542,0,0,safe,0,
4,0,0.0,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.003,1,1,87.742,0.344,0.25,298.336,3.3151,0,0,safe,0,
4,0,0.0,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.003,1,1,87.742,0.344,0.228,298.314,3.3151,0,0,safe,0,
4,0,0.0,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.003,1,1,87.742,0.344,5.398,303.484,3.3151,0,0,safe,0,
4,1,4.8,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0426,1,1,87.742,0.253,0.23,298.225,0.4268,0,1,violation,0,
4,1,4.8,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0426,1,1,87.742,0.253,0.223,298.218,0.4268,0,1,violation,0,
4,1,4.8,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0426,1,1,87.742,0.253,5.458,303.453,0.4268,0,1,violation,0,
4,2,9.6,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,87.742,0.261,0.228,298.232,0.5993,0,0,safe,0,
4,2,9.6,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,87.742,0.261,0.225,298.228,0.5993,0,0,safe,0,
4,2,9.6,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0,1,1,87.742,0.261,5.442,303.445,0.5993,0,0,safe,0,
4,3,14.6,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0977,1,1,87.742,0.242,3.662,301.646,0.6841,0,0,safe,0,
4,3,14.6,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0977,1,1,87.742,0.242,129.001,426.986,0.6683,0,0,safe,0,
4,3,14.6,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0977,1,1,87.742,0.242,6.14,304.125,0.7747,0,0,safe,0,
5,0,0.0,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.035,1,1,101.049,0.578,0.312,311.939,2.3121,0,0,safe,0,
5,0,0.0,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.035,1,1,101.049,0.578,0.27,311.897,2.3121,0,0,safe,0,
5,0,0.0,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.035,1,1,101.049,0.578,6.407,318.034,2.3121,0,0,safe,0,
5,1,3.8,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0395,1,1,101.049,0.285,0.259,311.593,0.4807,0,1,violation,0,
5,1,3.8,rrt_star,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0395,1,1,101.049,0.285,0.244,311.577,0.4807,0,1,violation,0,
5,1,3.8,mppi,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0395,1,1,101.049,0.285,6.333,317.667,0.4807,0,1,violation,0,
5,2,7.6,rrt,metric_depth_cache,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,0.0321,1,1,101.049,0.313,0.27,311.631,0.5209,0,0,safe,0,
