frame,time_s,stage,risk,clearance_m,lidar_points,drone_x,drone_y,drone_z
0,0.0,0,SAFE,1.7489,1400,0.0,0.0,1.15
1,0.056,0,SAFE,1.7644,1400,0.0372,0.0302,1.15
2,0.111,0,SAFE,1.781,1400,0.0743,0.0605,1.15
3,0.167,0,SAFE,1.7969,1400,0.1115,0.0907,1.15
4,0.222,0,SAFE,1.7708,1400,0.1486,0.1209,1.15
5,0.278,0,SAFE,1.7456,1400,0.1858,0.1511,1.15
6,0.333,0,SAFE,1.7211,1400,0.223,0.1813,1.15
7,0.389,0,SAFE,1.6973,1400,0.2603,0.2114,1.15
8,0.444,0,SAFE,1.6745,1400,0.2976,0.2415,1.15
9,0.5,0,SAFE,1.6524,1400,0.3349,0.2716,1.15
10,0.556,0,SAFE,1.6312,1400,0.3722,0.3016,1.15
11,0.611,0,SAFE,1.6109,1400,0.4096,0.3315,1.15
12,0.667,0,SAFE,1.5915,1400,0.447,0.3614,1.15
13,0.722,0,SAFE,1.573,1400,0.4846,0.3912,1.15
14,0.778,0,SAFE,1.5555,1400,0.5221,0.421,1.15
15,0.833,0,SAFE,1.5389,1400,0.5597,0.4506,1.15
16,0.889,0,SAFE,1.5233,1400,0.5974,0.4802,1.15
17,0.944,0,SAFE,1.5088,1400,0.6351,0.5098,1.15
18,1.0,0,SAFE,1.4951,1400,0.673,0.5391,1.15
19,1.056,0,SAFE,1.4826,1400,0.7109,0.5684,1.15
20,1.111,0,SAFE,1.4711,1400,0.7489,0.5976,1.15
21,1.167,0,SAFE,1.4606,1400,0.787,0.6266,1.15
22,1.222,0,SAFE,1.4512,1400,0.8252,0.6555,1.15
23,1.278,0,SAFE,1.4429,1400,0.8634,0.6844,1.15
24,1.333,0,SAFE,1.4356,1400,0.9019,0.713,1.15
25,1.389,0,SAFE,1.4295,1400,0.9403,0.7415,1.15
26,1.444,0,SAFE,1.4245,1400,0.979,0.7699,1.15
27,1.5,0,SAFE,1.4205,1400,1.0177,0.798,1.15
28,1.556,0,SAFE,1.4177,1400,1.0565,0.8261,1.15
29,1.611,0,SAFE,1.4158,1400,1.0955,0.8539,1.15
30,1.667,0,SAFE,1.4151,1400,1.1347,0.8816,1.15
31,1.722,0,SAFE,1.4155,1400,1.1739,0.9091,1.15
32,1.778,0,SAFE,1.4168,1400,1.2133,0.9363,1.15
33,1.833,0,SAFE,1.4193,1400,1.2529,0.9633,1.15
34,1.889,0,SAFE,1.4228,1400,1.2925,0.9902,1.15
35,1.944,0,SAFE,1.4272,1400,1.3324,1.0167,1.15
36,2.0,0,SAFE,1.4328,1400,1.3724,1.0431,1.15
37,2.056,0,SAFE,1.4392,1400,1.4126,1.0692,1.15
38,2.111,0,SAFE,1.4465,1400,1.453,1.0949,1.15
39,2.167,1,SAFE,1.4524,1400,1.4815,1.1131,1.15
40,2.222,1,SAFE,1.4511,1400,1.5265,1.1291,1.1607
41,2.278,1,SAFE,1.4511,1400,1.5715,1.1451,1.1714
42,2.333,1,SAFE,1.4522,1400,1.6166,1.161,1.1821
43,2.389,1,SAFE,1.4531,1400,1.6616,1.1769,1.1927
44,2.444,1,SAFE,1.4243,1400,1.7067,1.1928,1.2034
45,2.5,1,SAFE,1.3818,1400,1.7517,1.2086,1.214
46,2.556,1,SAFE,1.3395,1400,1.7969,1.2244,1.2246
47,2.611,1,SAFE,1.2975,1400,1.842,1.2401,1.2352
48,2.667,1,SAFE,1.2558,1400,1.8872,1.2556,1.2457
49,2.722,1,SAFE,1.2144,1400,1.9324,1.2711,1.2562
50,2.778,1,SAFE,1.1737,1400,1.9777,1.2865,1.2667
51,2.833,1,SAFE,1.1334,1400,2.023,1.3018,1.2771
52,2.889,1,SAFE,1.0939,1400,2.0684,1.3169,1.2874
