frame,time_s,x,y,z,clearance_m,risk,lidar_points,min_lidar_range_m
0,0.0,0.34,-2.12,1.05,1.5982138299279744,SAFE,140,0.69
1,0.05555555555555555,0.34,-2.12,1.05,1.5982138299279744,SAFE,140,0.69
2,0.1111111111111111,0.34,-2.12,1.05,1.5982138299279744,SAFE,140,0.69
3,0.16666666666666666,0.43681005143947715,-2.1017181720186926,1.0491416162510308,1.539559137040877,SAFE,140,0.7082818279813075
4,0.2222222222222222,0.43681005143947715,-2.1017181720186926,1.0491416162510308,1.539559137040877,SAFE,140,0.7082818279813075
5,0.2777777777777778,0.5331093905619165,-2.0866438791492854,1.0488415163600784,1.4934745322598952,SAFE,140,0.7233561208507147
6,0.3333333333333333,0.5331093905619165,-2.0866438791492854,1.0488415163600784,1.4934745322598952,SAFE,140,0.7233561208507147
7,0.3888888888888889,0.5331093905619165,-2.0866438791492854,1.0488415163600784,1.4934745322598952,SAFE,140,0.7233561208507147
8,0.4444444444444444,0.6297812056300809,-2.0767663418547833,1.0475258906525313,1.4472703510128482,SAFE,140,0.7332336581452168
9,0.5,0.6297812056300809,-2.0767663418547833,1.0475258906525313,1.4472703510128482,SAFE,140,0.7332336581452168
10,0.5555555555555556,0.7312882643350387,-2.0722536725654703,1.044823103873092,1.4344021779460798,SAFE,140,0.7377463274345297
11,0.6111111111111112,0.7312882643350387,-2.0722536725654703,1.044823103873092,1.4344021779460798,SAFE,140,0.7377463274345297
12,0.6666666666666666,0.7312882643350387,-2.0722536725654703,1.044823103873092,1.4344021779460798,SAFE,140,0.7377463274345297
13,0.7222222222222222,0.8338492044214341,-2.0681767864509393,1.0437330279673556,1.447463170688521,SAFE,140,0.7418232135490608
14,0.7777777777777778,0.8338492044214341,-2.0681767864509393,1.0437330279673556,1.447463170688521,SAFE,140,0.7418232135490608
15,0.8333333333333334,0.9363359082255789,-2.0568083358630247,1.0445197183610289,1.4357688618374573,SAFE,140,0.7531916641369754
16,0.8888888888888888,0.9363359082255789,-2.0568083358630247,1.0445197183610289,1.4357688618374573,SAFE,140,0.7531916641369754
17,0.9444444444444444,0.9363359082255789,-2.0568083358630247,1.0445197183610289,1.4357688618374573,SAFE,140,0.7531916641369754
18,1.0,1.0411169570374303,-2.030572200567955,1.04768094106362,1.4082233042592742,SAFE,140,0.7794277994320451
