dataset,sample,topic,frame_offset,timestamp_ns,cluster_id,point_count,voxel_count,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,bbox_center_x_m,bbox_center_y_m,bbox_center_z_m,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_volume_m3
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,0,1690899086440990686,0,164,45,6.651,-2.77,3.241,9.184,-0.019,5.0,7.9175,-1.3945,4.1205,2.533,2.751,1.759,12.2572
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,0,1690899086440990686,1,115,74,9.59,-4.909,-0.498,14.973,-4.516,1.054,12.2815,-4.7125,0.278,5.383,0.393,1.552,3.2833
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,0,1690899086440990686,2,91,34,10.161,-0.457,3.813,14.956,0.367,3.979,12.5585,-0.045,3.896,4.795,0.824,0.166,0.6559
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,0,1690899086440990686,3,45,11,5.294,-3.398,-0.596,5.731,-2.746,0.023,5.5125,-3.072,-0.2865,0.437,0.652,0.619,0.1764
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,0,1690899086440990686,4,26,13,8.219,-4.399,-0.623,8.831,-4.047,0.141,8.525,-4.223,-0.241,0.612,0.352,0.764,0.1646
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,451,1690899090951032814,0,452,122,7.793,-5.426,1.864,9.966,-1.251,4.395,8.8795,-3.3385,3.1295,2.173,4.175,2.531,22.9619
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,451,1690899090951032814,1,138,48,8.128,-4.571,0.551,11.008,-3.755,2.089,9.568,-4.163,1.32,2.88,0.816,1.538,3.6144
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,451,1690899090951032814,2,122,75,9.842,-2.635,3.787,14.855,-0.889,4.388,12.3485,-1.762,4.0875,5.013,1.746,0.601,5.2604
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,451,1690899090951032814,3,56,21,8.948,-5.204,4.737,9.975,-3.054,4.993,9.4615,-4.129,4.865,1.027,2.15,0.256,0.5653
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,902,1690899095461089954,0,322,92,7.741,-5.47,1.216,10.004,-2.271,3.644,8.8725,-3.8705,2.43,2.263,3.199,2.428,17.5771
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,902,1690899095461089954,1,194,19,5.367,-3.843,-0.537,5.709,-2.751,0.875,5.538,-3.297,0.169,0.342,1.092,1.412,0.5273
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,902,1690899095461089954,2,103,77,10.531,-4.796,2.725,14.976,-2.75,4.095,12.7535,-3.773,3.41,4.445,2.046,1.37,12.4594
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,902,1690899095461089954,3,53,33,8.211,-4.958,-0.64,12.563,-4.059,0.183,10.387,-4.5085,-0.2285,4.352,0.899,0.823,3.2199
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,902,1690899095461089954,4,28,16,8.351,-5.326,-0.574,9.783,-5.103,0.398,9.067,-5.2145,-0.088,1.432,0.223,0.972,0.3104
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,0,386,71,8.02,4.55,-0.581,11.46,5.955,3.269,9.74,5.2525,1.344,3.44,1.405,3.85,18.6078
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,1,158,40,6.934,-2.288,2.819,8.877,-0.194,4.993,7.9055,-1.241,3.906,1.943,2.094,2.174,8.8452
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,2,104,35,8.311,1.755,1.796,8.994,3.615,2.986,8.6525,2.685,2.391,0.683,1.86,1.19,1.5118
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,3,82,56,10.216,6.176,3.082,14.803,6.603,4.932,12.5095,6.3895,4.007,4.587,0.427,1.85,3.6235
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,4,68,29,11.095,-3.398,3.877,14.993,-2.695,3.941,13.044,-3.0465,3.909,3.898,0.703,0.064,0.1754
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,5,62,44,9.817,3.09,2.314,14.963,3.528,3.954,12.39,3.309,3.134,5.146,0.438,1.64,3.6965
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,6,34,4,5.425,3.536,0.091,5.645,3.801,0.446,5.535,3.6685,0.2685,0.22,0.265,0.355,0.0207
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,7,31,11,10.399,4.747,-0.579,11.068,5.423,-0.031,10.7335,5.085,-0.305,0.669,0.676,0.548,0.2478
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1354,1690899099981181913,8,25,12,7.244,0.555,3.903,8.739,0.781,4.475,7.9915,0.668,4.189,1.495,0.226,0.572,0.1933
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,0,222,56,8.386,1.046,2.526,9.573,3.537,4.581,8.9795,2.2915,3.5535,1.187,2.491,2.055,6.0763
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,1,154,15,8.417,4.566,1.091,8.93,5.227,2.967,8.6735,4.8965,2.029,0.513,0.661,1.876,0.6361
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,2,135,15,8.261,-3.781,2.72,8.856,-3.248,4.231,8.5585,-3.5145,3.4755,0.595,0.533,1.511,0.4792
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,3,118,55,11.182,-4.968,2.107,14.917,-4.514,3.9,13.0495,-4.741,3.0035,3.735,0.454,1.793,3.0404
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,4,117,74,9.657,3.419,-0.567,14.992,3.657,0.843,12.3245,3.538,0.138,5.335,0.238,1.41,1.7903
