dataset,sample,topic,frame_offset,timestamp_ns,cluster_id,point_count,voxel_count,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,bbox_center_x_m,bbox_center_y_m,bbox_center_z_m,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_volume_m3
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,0,1690899086440694384,0,301,76,-2.595,-4.742,3.826,3.002,-2.434,4.904,0.2035,-3.588,4.365,5.597,2.308,1.078,13.9255
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,0,1690899086440694384,1,243,83,-5.006,-4.253,4.363,-2.897,0.596,4.925,-3.9515,-1.8285,4.644,2.109,4.849,0.562,5.7473
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,0,1690899086440694384,2,242,48,-3.062,2.984,4.181,2.055,5.152,4.999,-0.5035,4.068,4.59,5.117,2.168,0.818,9.0746
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,0,1690899086440694384,3,26,9,-2.176,-1.329,1.788,-2.097,-0.433,2.487,-2.1365,-0.881,2.1375,0.079,0.896,0.699,0.0495
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,451,1690899090950858846,0,1055,19,-1.006,-1.281,-0.06,0.0,0.099,0.029,-0.503,-0.591,-0.0155,1.006,1.38,0.089,0.1236
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,451,1690899090950858846,1,169,66,0.796,-4.471,-0.122,4.105,-1.623,0.367,2.4505,-3.047,0.1225,3.309,2.848,0.489,4.6084
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,451,1690899090950858846,2,111,67,4.531,-4.074,-0.122,7.426,3.347,0.456,5.9785,-0.3635,0.167,2.895,7.421,0.578,12.4176
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,451,1690899090950858846,3,60,28,2.38,2.807,-0.12,5.042,4.166,0.093,3.711,3.4865,-0.0135,2.662,1.359,0.213,0.7706
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,451,1690899090950858846,4,53,13,0.34,-4.409,-0.121,1.405,-4.192,0.337,0.8725,-4.3005,0.108,1.065,0.217,0.458,0.1058
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,451,1690899090950858846,5,48,7,-0.257,-2.662,-0.102,0.329,-2.297,0.172,0.036,-2.4795,0.035,0.586,0.365,0.274,0.0586
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,451,1690899090950858846,6,40,35,8.242,-4.22,0.094,9.159,3.48,0.347,8.7005,-0.37,0.2205,0.917,7.7,0.253,1.7864
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,451,1690899090950858846,7,34,4,-2.006,-0.479,-0.122,-1.628,-0.018,0.057,-1.817,-0.2485,-0.0325,0.378,0.461,0.179,0.0312
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,902,1690899095460664156,0,397,95,-2.615,-4.762,3.455,3.909,-2.448,4.944,0.647,-3.605,4.1995,6.524,2.314,1.489,22.4787
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,902,1690899095460664156,1,237,96,-5.174,-4.573,4.327,-3.028,0.608,4.91,-4.101,-1.9825,4.6185,2.146,5.181,0.583,6.482
Multi-LiDAR Multi-UAV,HolybroStdn01_mid360_livox,/mid360/livox/lidar,902,1690899095460664156,2,131,31,-2.467,4.261,4.632,2.129,5.572,4.994,-0.169,4.9165,4.813,4.596,1.311,0.362,2.1812
