dataset,sample,topic,frame_offset,timestamp_ns,cluster_id,point_count,voxel_count,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,bbox_center_x_m,bbox_center_y_m,bbox_center_z_m,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_volume_m3
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,0,380,66,8.4168,0.5157,-0.5985,9.0067,3.5887,3.721,8.7117,2.0522,1.5612,0.5898,3.073,4.3195,7.8292
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,1,297,129,10.5241,-5.7262,-0.6619,14.5227,-5.0342,4.192,12.5234,-5.3802,1.7651,3.9986,0.6921,4.8539,13.4319
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,2,223,133,17.5911,3.2101,2.2827,22.8663,6.305,4.9903,20.2287,4.7575,3.6365,5.2752,3.0949,2.7076,44.205
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,3,171,74,16.8574,-4.1472,-0.4852,17.6099,3.2723,4.3152,17.2336,-0.4375,1.915,0.7525,7.4195,4.8004,26.7999
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,4,136,49,19.1837,1.6822,-0.5496,19.7082,3.4245,2.1569,19.4459,2.5533,0.8037,0.5245,1.7423,2.7064,2.4732
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,5,129,89,15.2804,-5.8557,-0.6565,19.8767,-5.0833,4.2447,17.5786,-5.4695,1.7941,4.5964,0.7724,4.9012,17.4006
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,6,122,38,13.198,4.3161,-0.6014,14.661,5.1047,2.1282,13.9295,4.7104,0.7634,1.463,0.7886,2.7297,3.1493
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,7,107,31,15.0559,4.2194,-0.664,16.4343,4.947,2.0505,15.7451,4.5832,0.6933,1.3784,0.7276,2.7145,2.7224
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,8,65,32,16.9365,-4.8489,-0.4823,17.3256,-4.4334,4.0683,17.1311,-4.6412,1.793,0.3892,0.4154,4.5506,0.7357
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,0,1690899086448844819,9,42,21,18.2587,-1.3169,-0.5535,20.6453,0.579,0.1911,19.452,-0.3689,-0.1812,2.3866,1.8959,0.7445,3.3687
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,0,392,63,8.4017,0.5703,-0.5948,9.0111,3.5979,3.7111,8.7064,2.0841,1.5582,0.6094,3.0276,4.3059,7.9443
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,1,226,69,13.0131,4.2273,-0.6253,16.4561,5.0865,2.1306,14.7346,4.6569,0.7527,3.443,0.8592,2.7559,8.1529
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,2,225,136,17.5234,3.1624,2.5136,23.6768,6.2929,4.9903,20.6001,4.7277,3.752,6.1534,3.1305,2.4767,47.7103
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,3,161,67,17.024,-2.8786,-0.4832,17.6104,3.2796,4.3133,17.3172,0.2005,1.915,0.5864,6.1582,4.7965,17.32
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,4,136,48,19.1926,1.6909,-0.5493,19.6999,3.4228,2.1583,19.4463,2.5569,0.8045,0.5073,1.7318,2.7075,2.3786
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,5,105,71,15.3631,-5.8372,-0.6579,18.1689,-5.3166,4.1626,16.766,-5.5769,1.7523,2.8057,0.5206,4.8205,7.0418
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,6,81,37,16.8452,-4.8517,-0.4823,17.3266,-3.6302,4.0829,17.0859,-4.241,1.8003,0.4814,1.2215,4.5651,2.6845
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,7,36,12,12.0626,-1.0519,4.3984,12.3287,1.807,4.5661,12.1956,0.3776,4.4822,0.2661,2.8589,0.1676,0.1275
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,90,1690899090946989988,8,36,20,18.2327,-1.3212,-0.5433,19.9328,0.5792,0.1765,19.0828,-0.371,-0.1834,1.7001,1.9003,0.7198,2.3255
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,0,403,74,8.3536,0.5654,-0.5976,9.0384,3.6231,3.7231,8.696,2.0942,1.5628,0.6848,3.0577,4.3208,9.0473
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,1,312,138,10.4883,-5.7004,-0.6633,14.4969,-5.0445,4.2331,12.4926,-5.3724,1.7849,4.0086,0.6558,4.8965,12.8727
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,2,227,69,13.2239,4.0985,-0.655,16.4217,5.0989,2.1242,14.8228,4.5987,0.7346,3.1978,1.0004,2.7793,8.8914
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,3,220,136,17.3887,3.1753,2.5135,23.6954,6.293,4.9727,20.5421,4.7342,3.7431,6.3068,3.1177,2.4591,48.3537
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,4,137,98,15.3516,-5.8726,-0.659,19.926,-5.0862,4.3713,17.6388,-5.4794,1.8562,4.5744,0.7863,5.0303,18.0937
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,5,137,49,19.1922,1.6903,-0.5493,19.7144,3.4251,2.1476,19.4533,2.5577,0.7991,0.5222,1.7347,2.6969,2.4431
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,6,44,26,18.222,-1.3235,-0.5583,20.5989,0.5792,0.4298,19.4104,-0.3722,-0.0642,2.3769,1.9027,0.9881,4.4685
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,7,36,23,18.727,3.8709,-0.5703,20.4248,4.8305,1.6433,19.5759,4.3507,0.5365,1.6978,0.9597,2.2136,3.6068
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,180,1690899095447979584,8,35,11,12.1114,-1.1451,4.3761,12.3219,1.7356,4.576,12.2167,0.2953,4.4761,0.2106,2.8807,0.2,0.1213
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,270,1690899099946043645,0,379,65,8.3795,0.5672,-0.5975,9.0224,3.5921,3.7396,8.7009,2.0797,1.571,0.6429,3.0249,4.337,8.434
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,270,1690899099946043645,1,220,129,17.5315,3.1944,2.5134,22.8873,6.3352,4.9914,20.2094,4.7648,3.7524,5.3558,3.1408,2.478,41.6833
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,270,1690899099946043645,2,135,48,19.1893,1.6923,-0.5495,19.7474,3.4243,2.1545,19.4684,2.5583,0.8025,0.558,1.732,2.704,2.6134
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,270,1690899099946043645,3,118,33,13.1718,4.2997,-0.5877,14.3195,5.0854,2.1203,13.7456,4.6925,0.7663,1.1477,0.7858,2.708,2.4421
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,270,1690899099946043645,4,108,35,15.0146,4.2389,-0.6666,16.5013,4.9416,2.0598,15.758,4.5903,0.6966,1.4867,0.7027,2.7264,2.8485
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,270,1690899099946043645,5,40,23,18.2157,-1.3167,-0.5523,20.5879,0.579,0.1907,19.4018,-0.3688,-0.1808,2.3721,1.8957,0.743,3.3411
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,270,1690899099946043645,6,35,12,12.041,-1.055,4.3971,12.3249,1.7312,4.5667,12.1829,0.3381,4.4819,0.2839,2.7861,0.1696,0.1342
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,360,1690899104446886580,0,392,68,8.373,0.5668,-0.5964,9.045,3.6021,3.7166,8.709,2.0845,1.5601,0.672,3.0352,4.313,8.7976
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,360,1690899104446886580,1,234,142,17.5699,3.1343,2.2853,23.7916,6.3189,4.9988,20.6807,4.7266,3.642,6.2217,3.1846,2.7135,53.7649
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,360,1690899104446886580,2,206,124,15.4254,-5.855,-0.6664,19.7575,-4.4009,4.4324,17.5914,-5.1279,1.883,4.3321,1.4541,5.0988,32.1197
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,360,1690899104446886580,3,169,70,18.6813,1.6949,-0.5713,20.5454,4.8623,2.1511,19.6134,3.2786,0.7899,1.8641,3.1674,2.7223,16.0734
Multi-LiDAR Multi-UAV,HolybroStdn01_ouster,/ouster/points,360,1690899104446886580,4,168,71,17.0031,-4.1507,-0.4837,17.598,3.2728,4.3192,17.3006,-0.4389,1.9177,0.595,7.4235,4.8029,21.2138
