dataset,sample,topic,frame_offset,timestamp_ns,cluster_id,point_count,voxel_count,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,bbox_center_x_m,bbox_center_y_m,bbox_center_z_m,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_volume_m3
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,0,1691060515868581442,0,16382,326,0.5001,-4.6119,-0.6312,4.1346,3.1674,1.6271,2.3173,-0.7222,0.498,3.6345,7.7793,2.2584,63.8532
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,0,1691060515868581442,1,2976,61,0.5001,-2.9265,-0.631,1.8202,-0.7813,0.8444,1.1602,-1.8539,0.1067,1.3201,2.1451,1.4754,4.1779
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,0,1691060515868581442,2,2015,226,1.2509,2.2938,0.6701,6.9174,7.9708,1.798,4.0841,5.1323,1.234,5.6665,5.6771,1.1279,36.284
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,0,1691060515868581442,3,36,10,0.5051,4.1788,1.6684,0.816,6.0526,1.7358,0.6606,5.1157,1.7021,0.311,1.8737,0.0674,0.0393
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,26,1691060517162134935,0,16368,324,0.5,-4.6161,-0.6263,4.149,3.1585,1.6239,2.3245,-0.7288,0.4988,3.649,7.7746,2.2502,63.8371
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,26,1691060517162134935,1,2994,58,0.5001,-2.9197,-0.6259,1.7447,-0.788,0.8985,1.1224,-1.8539,0.1363,1.2445,2.1317,1.5244,4.0443
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,26,1691060517162134935,2,2013,226,1.2855,2.2892,0.6687,6.9312,7.969,1.8028,4.1084,5.1291,1.2357,5.6457,5.6798,1.1341,36.3677
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,52,1691060518462081336,0,16338,319,0.5003,-4.6151,-0.6275,4.153,3.1459,1.6228,2.3266,-0.7346,0.4976,3.6527,7.761,2.2503,63.7924
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,52,1691060518462081336,1,2965,59,0.5001,-2.9157,-0.6221,1.7734,-0.7855,0.8957,1.1367,-1.8506,0.1368,1.2733,2.1302,1.5178,4.1169
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,52,1691060518462081336,2,2011,230,1.283,2.2841,0.6707,6.9222,7.9773,1.7972,4.1026,5.1307,1.2339,5.6392,5.6932,1.1265,36.1664
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,52,1691060518462081336,3,38,10,0.5066,4.1844,1.6759,0.7759,5.9999,1.7197,0.6413,5.0921,1.6978,0.2694,1.8155,0.0438,0.0214
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,79,1691060519809506050,0,16352,324,0.5001,-4.6044,-0.6268,4.1364,3.1518,1.6235,2.3182,-0.7263,0.4984,3.6364,7.7562,2.2502,63.467
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,79,1691060519809506050,1,2953,58,0.5002,-2.8979,-0.6265,1.7187,-0.7984,0.7686,1.1094,-1.8482,0.071,1.2185,2.0995,1.3951,3.569
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,79,1691060519809506050,2,2011,231,1.2824,2.3076,0.6693,6.9283,7.9644,1.7946,4.1054,5.136,1.2319,5.646,5.6568,1.1253,35.9385
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,79,1691060519809506050,3,35,9,0.5059,4.1765,1.673,0.8114,5.9953,1.7262,0.6587,5.0859,1.6996,0.3054,1.8188,0.0532,0.0296
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,105,1691060521111799590,0,16363,321,0.5001,-4.6193,-0.6253,4.151,3.1566,1.6246,2.3255,-0.7313,0.4996,3.6509,7.7759,2.2499,63.8738
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,105,1691060521111799590,1,2953,59,0.5003,-2.9231,-0.6221,1.7882,-0.7877,0.7668,1.1442,-1.8554,0.0724,1.2879,2.1354,1.3888,3.8196
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,105,1691060521111799590,2,2017,229,1.2741,2.3138,0.6719,6.9118,7.9838,1.7994,4.0929,5.1488,1.2356,5.6377,5.67,1.1275,36.0405
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,105,1691060521111799590,3,36,10,0.504,4.1599,1.6636,0.8155,6.0067,1.7411,0.6598,5.0833,1.7023,0.3116,1.8468,0.0776,0.0446
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,132,1691060522461724064,0,16369,326,0.5,-4.6239,-0.6259,4.1401,3.1663,1.6246,2.3201,-0.7288,0.4993,3.64,7.7902,2.2505,63.8171
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,132,1691060522461724064,1,2927,59,0.5003,-2.9192,-0.6232,1.7608,-0.7992,0.7869,1.1306,-1.8592,0.0818,1.2604,2.12,1.41,3.7679
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,132,1691060522461724064,2,2009,226,1.287,2.2923,0.6704,6.9374,7.9635,1.7936,4.1122,5.1279,1.232,5.6504,5.6712,1.1232,35.9922
Multi-LiDAR Multi-UAV,Calibration,/ouster/points,158,1691060523764866566,0,2946,59,0.5,-2.9424,-0.6268,1.7446,-0.7528,0.8681,1.1223,-1.8476,0.1206,1.2446,2.1897,1.4949,4.074
