dataset,bag,topic,msgtype,offered_qos_profiles
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/avia/livox/imu,sensor_msgs/msg/Imu,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/avia/livox/lidar,livox_ros_driver/msg/CustomMsg,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/camera/color/camera_info,sensor_msgs/msg/CameraInfo,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/camera/color/image_raw,sensor_msgs/msg/Image,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/camera/color/metadata,realsense2_camera/msg/Metadata,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/mid360/livox/imu,sensor_msgs/msg/Imu,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/mid360/livox/lidar,livox_ros_driver2/msg/CustomMsg,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/ouster/imu,sensor_msgs/msg/Imu,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/ouster/nearir_image,sensor_msgs/msg/Image,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/ouster/points,sensor_msgs/msg/PointCloud2,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/ouster/range_image,sensor_msgs/msg/Image,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/ouster/reflec_image,sensor_msgs/msg/Image,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/ouster/signal_image,sensor_msgs/msg/Image,
Multi-LiDAR Multi-UAV,HolybroStdn01.from_hf.bag,/vrpn_client_node/holybro/pose,geometry_msgs/msg/PoseStamped,
