dataset,sample,topic,frame_offset,timestamp_ns,cluster_id,point_count,voxel_count,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,bbox_center_x_m,bbox_center_y_m,bbox_center_z_m,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_volume_m3
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,0,1690462141520417644,0,326,71,6.788,-3.868,3.23,10.033,-0.288,5.0,8.4105,-2.078,4.115,3.245,3.58,1.77,20.5623
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,0,1690462141520417644,1,312,149,23.111,-5.483,-0.602,24.577,2.347,4.307,23.844,-1.568,1.8525,1.466,7.83,4.909,56.3493
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,0,1690462141520417644,2,159,51,10.354,-0.799,3.107,17.54,0.292,4.137,13.947,-0.2535,3.622,7.186,1.091,1.03,8.0751
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,0,1690462141520417644,3,79,41,18.061,-0.914,-0.622,20.292,1.003,0.43,19.1765,0.0445,-0.096,2.231,1.917,1.052,4.4992
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,0,1690462141520417644,4,35,13,5.322,-3.277,-0.608,5.784,-2.615,-0.208,5.553,-2.946,-0.408,0.462,0.662,0.4,0.1223
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,825,1690462149770231186,0,248,113,23.661,-1.387,-0.412,24.578,3.415,4.261,24.1195,1.014,1.9245,0.917,4.802,4.673,20.5772
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,825,1690462149770231186,1,190,19,8.368,1.91,2.111,8.761,2.55,4.242,8.5645,2.23,3.1765,0.393,0.64,2.131,0.536
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,825,1690462149770231186,2,136,81,13.993,2.044,1.438,17.596,3.592,4.035,15.7945,2.818,2.7365,3.603,1.548,2.597,14.4846
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,825,1690462149770231186,3,109,28,7.695,4.725,-0.584,9.692,5.547,0.402,8.6935,5.136,-0.091,1.997,0.822,0.986,1.6186
Multi-LiDAR Multi-UAV,Tello03_avia_livox,/avia/livox/lidar,825,1690462149770231186,4,99,27,10.375,-0.887,3.794,16.418,-0.185,3.993,13.3965,-0.536,3.8935,6.043,0.702,0.199,0.8442
