dataset,sample,topic,frame_offset,timestamp_ns,cluster_id,point_count,voxel_count,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,bbox_center_x_m,bbox_center_y_m,bbox_center_z_m,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_volume_m3
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,0,1691262939340466475,0,570,101,0.5042,3.8006,-0.7415,7.5759,8.3883,1.3892,4.0401,6.0945,0.3238,7.0717,4.5876,2.1307,69.1248
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,0,1691262939340466475,1,140,33,0.5379,5.7864,-0.7296,7.4131,9.7471,-0.6831,3.9755,7.7668,-0.7064,6.8752,3.9607,0.0465,1.2663
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,0,1691262939340466475,2,93,33,6.687,6.5276,-0.7372,12.7705,11.9767,-0.6736,9.7287,9.2521,-0.7054,6.0835,5.4491,0.0636,2.1068
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,75,1691262943088557221,0,568,101,0.5138,3.7942,-0.7417,7.6468,8.3896,1.3875,4.0803,6.0919,0.3229,7.133,4.5954,2.1292,69.7915
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,75,1691262943088557221,1,140,31,0.5376,5.7594,-0.7288,7.3785,9.7431,-0.6802,3.9581,7.7513,-0.7045,6.8408,3.9837,0.0486,1.3249
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,75,1691262943088557221,2,95,34,6.6792,6.4054,-0.7415,12.9203,11.9627,-0.6755,9.7998,9.1841,-0.7085,6.2412,5.5573,0.066,2.2884
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,150,1691262946841453876,0,553,107,0.5134,3.7256,-0.7409,7.5742,8.3906,1.3943,4.0438,6.0581,0.3267,7.0607,4.665,2.1352,70.3294
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,150,1691262946841453876,1,261,204,19.0484,-6.7426,-0.6679,26.3136,-5.4007,4.9972,22.681,-6.0716,2.1647,7.2653,1.3419,5.6651,55.2283
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,150,1691262946841453876,2,140,32,0.5392,5.7693,-0.7319,7.3911,9.772,-0.6853,3.9651,7.7706,-0.7086,6.8518,4.0028,0.0466,1.2775
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,150,1691262946841453876,3,93,31,6.6953,6.5422,-0.7389,12.799,11.9915,-0.6745,9.7471,9.2668,-0.7067,6.1037,5.4493,0.0645,2.1443
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,225,1691262950588282559,0,552,101,0.5145,3.7942,-0.7414,7.5812,8.4015,1.3886,4.0479,6.0979,0.3236,7.0667,4.6073,2.13,69.3509
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,225,1691262950588282559,1,255,193,19.0419,-6.8111,-0.671,26.2844,-5.5407,4.9801,22.6632,-6.1759,2.1545,7.2425,1.2704,5.6511,51.9948
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,225,1691262950588282559,2,93,31,6.685,6.5249,-0.7369,12.7652,11.9732,-0.6745,9.7251,9.249,-0.7057,6.0802,5.4483,0.0624,2.066
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,301,1691262954387482620,0,557,100,0.5145,3.7578,-0.7419,7.5936,8.4005,1.3894,4.054,6.0792,0.3237,7.0791,4.6427,2.1313,70.0468
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,301,1691262954387482620,1,140,32,0.5379,5.7717,-0.7299,7.3942,9.7526,-0.6832,3.9661,7.7622,-0.7065,6.8563,3.9809,0.0467,1.2735
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,301,1691262954387482620,2,94,34,6.6797,6.4738,-0.7402,12.8594,11.9636,-0.6747,9.7695,9.2187,-0.7074,6.1797,5.4898,0.0655,2.2219
Multi-LiDAR Multi-UAV,TelloOut02_ouster,/ouster/points,376,1691262958139208236,0,547,103,0.5045,3.7932,-0.7413,7.5919,8.3856,1.3875,4.0482,6.0894,0.3231,7.0874,4.5925,2.1288,69.2887
