sequence,obstacle_count,representation_scope,obstacle_radius_m,safety_distance_m,inflated_radius_m,circle_area_m2,inflated_circle_area_m2,occupancy_resolution_m,bbox_min_x_m,bbox_max_x_m,bbox_min_y_m,bbox_max_y_m,bounding_box_area_m2,occupancy_grid_cells,occupancy_blocked_cells,occupancy_area_m2,occupancy_fill_ratio,bbox_over_occupancy_ratio
3,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4595,-0.0595,1.6165,3.0165,1.96,196,156,1.56,0.7959,1.2564
10,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
1,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4595,-0.0595,1.6165,3.0165,1.96,196,156,1.56,0.7959,1.2564
2,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4595,-0.0595,1.6165,3.0165,1.96,196,156,1.56,0.7959,1.2564
4,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4595,-0.0595,1.6165,3.0165,1.96,196,156,1.56,0.7959,1.2564
5,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4595,-0.0595,1.6165,3.0165,1.96,196,156,1.56,0.7959,1.2564
6,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4595,-0.0595,1.6165,3.0165,1.96,196,156,1.56,0.7959,1.2564
7,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4595,-0.0595,1.6165,3.0165,1.96,196,156,1.56,0.7959,1.2564
8,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
9,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
11,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
12,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
13,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
14,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
15,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
16,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
17,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
18,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
19,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.4059,-0.006,-2.2893,-0.8893,1.96,196,156,1.56,0.7959,1.2564
20,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
21,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
22,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
23,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
24,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
25,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
26,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
27,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
28,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.5808,1.9808,-0.6799,0.7201,1.96,196,156,1.56,0.7959,1.2564
