sequence,obstacles,min_center_distance_m,min_boundary_clearance_m,closest_time_s,closest_index,closest_obstacle_index,collision,safety_violation,safety_distance_m,path_length_m,duration_s,mean_speed_mps,avoidance_label,computation_time_ms,method,split,planner_compute_time_ms,waypoint_count,smoothness_heading_change,goal_error_m,test_action_mse,inference_latency_ms_per_sample
2,1,2.5088,2.3088,9.825,101,0,0,0,0.5,7.5036,9.825,0.7637,left,0.0984,plain_bc_mppi,test,7.6133,102,0.050421,0.0,0.00572333,0.000687
12,1,1.186,0.986,7.2476,67,0,0,0,0.5,6.5016,8.4375,0.7706,right,0.1159,plain_bc_mppi,test,6.3682,79,0.004415,0.1612,0.00572333,0.000687
14,1,2.0008,1.8008,9.825,101,0,0,0,0.5,8.2717,9.825,0.8419,left,0.0728,plain_bc_mppi,test,7.5954,102,0.075128,0.0,0.00572333,0.000687
28,1,0.6127,0.4127,2.2057,19,0,0,1,0.5,8.8608,11.725,0.7557,right,0.0552,plain_bc_mppi,test,5.4133,102,0.008231,0.0,0.00572333,0.000687
32,1,2.7704,2.5704,3.796,36,0,0,0,0.5,7.4108,10.65,0.6958,left,0.0553,plain_bc_mppi,test,6.4833,102,0.102298,0.0,0.00572333,0.000687
48,1,0.0714,-0.1286,2.1463,26,0,1,1,0.5,12.7366,8.3375,1.5276,straight/near-center,0.0531,plain_bc_mppi,test,4.966,102,0.009156,0.0,0.00572333,0.000687
53,1,1.4325,1.2325,1.6775,18,0,0,0,0.5,6.9605,9.4125,0.7395,right,0.0611,plain_bc_mppi,test,7.4991,102,0.095184,0.0,0.00572333,0.000687
60,1,1.7728,1.5728,1.305,16,0,0,0,0.5,7.7825,8.2375,0.9448,right,0.1473,plain_bc_mppi,test,6.8886,102,0.037458,0.0,0.00572333,0.000687
121,1,0.6211,0.4211,7.2865,95,0,0,1,0.5,13.0741,7.7467,1.6877,straight/near-center,0.0831,plain_bc_mppi,test,6.223,102,0.072027,0.0,0.00572333,0.000687
133,1,0.2084,0.0084,1.7024,16,0,0,1,0.5,14.3778,10.7467,1.3379,straight/near-center,0.2069,plain_bc_mppi,test,6.31,102,0.052385,0.0,0.00572333,0.000687
135,1,1.6391,1.4391,12.5333,101,0,0,0,0.5,22.2027,12.5333,1.7715,left,0.0856,plain_bc_mppi,test,8.2857,102,0.02674,0.0,0.00572333,0.000687
143,1,1.0928,0.8928,9.2267,101,0,0,0,0.5,9.536,9.2267,1.0335,right,0.051,plain_bc_mppi,test,5.1916,102,0.088579,0.0,0.00572333,0.000687
144,1,0.6555,0.4555,8.0037,92,0,0,1,0.5,11.4908,8.7867,1.3078,left,0.0569,plain_bc_mppi,test,5.0434,102,0.042612,0.0,0.00572333,0.000687
154,1,1.9537,1.7537,9.28,101,0,0,0,0.5,4.2566,9.28,0.4587,left,0.0516,plain_bc_mppi,test,5.4567,102,0.036547,0.0,0.00572333,0.000687
161,1,1.3356,1.1356,15.6267,101,0,0,0,0.5,7.0837,15.6267,0.4533,right,0.0849,plain_bc_mppi,test,6.2484,102,0.016098,0.0,0.00572333,0.000687
171,1,1.6093,1.4093,2.6947,28,0,0,0,0.5,9.3283,9.72,0.9597,right,0.0657,plain_bc_mppi,test,9.0616,102,0.032923,0.0,0.00572333,0.000687
177,1,1.4422,1.2422,4.2935,37,0,0,0,0.5,8.2596,11.72,0.7047,right,0.1766,plain_bc_mppi,test,8.962,102,0.086826,0.0,0.00572333,0.000687
180,1,0.6276,0.4276,1.9772,17,0,0,1,0.5,9.8318,11.7467,0.837,left,0.0799,plain_bc_mppi,test,9.8036,102,0.026218,0.0,0.00572333,0.000687
182,1,0.4192,0.2192,3.1086,28,0,0,1,0.5,7.0857,11.2133,0.6319,straight/near-center,0.1327,plain_bc_mppi,test,7.8851,102,0.022688,0.0,0.00572333,0.000687
183,1,0.37,0.17,2.9432,35,0,0,1,0.5,7.449,8.4933,0.877,straight/near-center,0.083,plain_bc_mppi,test,9.1197,102,0.021307,0.0,0.00572333,0.000687
407,1,3.3284,3.1284,11.6698,101,0,0,0,0.5,34.0718,11.6698,2.9197,left,0.0903,plain_bc_mppi,test,9.7786,102,0.088296,0.0,0.00572333,0.000687
408,1,3.508,3.308,1.889,20,0,0,0,0.5,18.1462,9.5395,1.9022,left,0.0791,plain_bc_mppi,test,9.804,102,0.007677,0.0,0.00572333,0.000687
410,1,3.7954,3.5954,8.6093,101,0,0,0,0.5,35.9509,8.6093,4.1758,left,0.0509,plain_bc_mppi,test,6.057,102,0.088272,0.0,0.00572333,0.000687
412,1,0.519,0.319,2.9631,28,0,0,1,0.5,12.6122,10.6884,1.18,right,0.0565,plain_bc_mppi,test,5.3827,102,0.064366,0.0,0.00572333,0.000687
414,1,2.9136,2.7136,9.8186,101,0,0,0,0.5,20.8841,9.8186,2.127,right,0.0674,plain_bc_mppi,test,7.8075,102,0.025546,0.0,0.00572333,0.000687
420,1,1.5733,1.3733,6.8222,69,0,0,0,0.5,13.2467,9.986,1.3265,left,0.0928,plain_bc_mppi,test,7.8919,102,0.104588,0.0,0.00572333,0.000687
186,2,3.0156,2.8156,1.9534,17,0,0,0,0.5,22.0117,11.6056,1.8966,left,0.0765,plain_bc_mppi,test,8.4139,102,0.043547,0.0,0.00572333,0.000687
192,2,0.5696,0.3696,3.262,32,0,0,1,0.5,11.2022,10.2958,1.088,left,0.1011,plain_bc_mppi,test,7.7839,102,0.031112,0.0,0.00572333,0.000687
194,2,0.2913,0.0913,1.5765,17,1,0,1,0.5,7.3305,9.3662,0.7827,right,0.0911,plain_bc_mppi,test,10.3572,102,0.017809,0.0,0.00572333,0.000687
195,2,0.2454,0.0454,1.5333,15,1,0,1,0.5,7.5105,10.3239,0.7275,straight/near-center,0.079,plain_bc_mppi,test,8.7603,102,0.007164,0.0,0.00572333,0.000687
212,2,2.8959,2.6959,0.2189,2,0,0,0,0.5,12.0566,11.0563,1.0905,left,0.0802,plain_bc_mppi,test,6.9635,102,0.004214,0.0,0.00572333,0.000687
234,2,1.0845,0.8845,11.6901,101,0,0,0,0.5,11.5696,11.6901,0.9897,left,0.0736,plain_bc_mppi,test,8.3312,102,0.00731,0.0,0.00572333,0.000687
240,2,1.5602,1.3602,8.4507,101,1,0,0,0.5,5.7867,8.4507,0.6848,left,0.0783,plain_bc_mppi,test,8.3178,102,0.027219,0.0,0.00572333,0.000687
249,2,1.9172,1.7172,2.1148,15,0,0,0,0.5,18.9282,14.2394,1.3293,left,0.0765,plain_bc_mppi,test,7.9306,102,0.035153,0.0,0.00572333,0.000687
255,2,1.5768,1.3768,8.5211,101,1,0,0,0.5,10.0904,8.5211,1.1842,left,0.1545,plain_bc_mppi,test,8.6697,102,0.007595,0.0,0.00572333,0.000687
267,2,0.6292,0.4292,5.2009,76,1,0,1,0.5,6.4796,6.9118,0.9375,right,0.0957,plain_bc_mppi,test,9.4585,102,0.017241,0.0,0.00572333,0.000687
269,2,1.6618,1.4618,7.3922,101,1,0,0,0.5,7.0902,7.3922,0.9592,right,0.0815,plain_bc_mppi,test,8.0953,102,0.053065,0.0,0.00572333,0.000687
274,2,0.821,0.621,4.4846,66,1,0,0,0.5,9.1101,6.8627,1.3275,right,0.1289,plain_bc_mppi,test,6.7996,102,0.042007,0.0,0.00572333,0.000687
277,2,1.1122,0.9122,6.6471,101,1,0,0,0.5,11.9427,6.6471,1.7967,right,0.076,plain_bc_mppi,test,7.1138,102,0.037567,0.0,0.00572333,0.000687
278,2,2.6573,2.4573,6.3627,101,0,0,0,0.5,23.3676,6.3627,3.6726,left,0.1195,plain_bc_mppi,test,8.7363,102,0.064611,0.0,0.00572333,0.000687
294,2,0.1753,-0.0247,2.0041,37,0,1,1,0.5,8.6329,5.4706,1.578,straight/near-center,0.1044,plain_bc_mppi,test,7.9117,102,0.033517,0.0,0.00572333,0.000687
298,2,1.9318,1.7318,5.0686,101,1,0,0,0.5,7.8355,5.0686,1.5459,right,0.1636,plain_bc_mppi,test,7.5194,102,0.002511,0.0,0.00572333,0.000687
319,2,2.4958,2.2958,4.5137,100,0,0,0,0.5,7.8561,4.5588,1.7233,left,0.0748,plain_bc_mppi,test,7.4057,102,0.006385,0.0,0.00572333,0.000687
323,2,2.2971,2.0971,8.6257,66,1,0,0,0.5,9.8795,13.2,0.7485,left,0.079,plain_bc_mppi,test,9.1717,102,0.06255,0.0,0.00572333,0.000687
326,2,2.2368,2.0368,5.9651,58,1,0,0,0.5,10.282,10.3875,0.9898,left,0.1375,plain_bc_mppi,test,8.5982,102,0.087807,0.0,0.00572333,0.000687
2,1,2.5088,2.3088,9.825,101,0,0,0,0.5,23.309,9.825,2.3724,left,0.0806,filtered_bc_mppi,test,11.8254,102,0.087406,0.0,0.0147433,0.00036
12,1,1.3308,1.1308,8.4375,101,0,0,0,0.5,6.9425,8.4375,0.8228,right,0.0731,filtered_bc_mppi,test,8.0733,102,0.021432,0.0,0.0147433,0.00036
14,1,0.0201,-0.1799,2.6265,27,0,1,1,0.5,16.9163,9.825,1.7218,straight/near-center,0.2275,filtered_bc_mppi,test,9.5655,102,0.084698,0.0,0.0147433,0.00036
28,1,1.6649,1.4649,1.7413,15,0,0,0,0.5,13.5567,11.725,1.1562,right,0.0726,filtered_bc_mppi,test,8.815,102,0.010126,0.0,0.0147433,0.00036
32,1,2.1409,1.9409,5.0614,48,0,0,0,0.5,11.8934,10.65,1.1167,right,0.095,filtered_bc_mppi,test,7.7964,102,0.063938,0.0,0.0147433,0.00036
48,1,1.1173,0.9173,1.4859,18,0,0,0,0.5,16.039,8.3375,1.9237,right,0.071,filtered_bc_mppi,test,9.7076,102,0.092419,0.0,0.0147433,0.00036
53,1,2.1468,1.9468,3.2618,35,0,0,0,0.5,11.8465,9.4125,1.2586,right,0.0743,filtered_bc_mppi,test,8.5181,102,0.013672,0.0,0.0147433,0.00036
60,1,2.2771,2.0771,8.2375,101,0,0,0,0.5,9.7045,8.2375,1.1781,right,0.2336,filtered_bc_mppi,test,10.1228,102,0.043024,0.0,0.0147433,0.00036
