planner,speed_bin,cases,safe_count,violation_count,collision_count,failure_count,safe_rate_pct,violation_rate_pct,collision_rate_pct,mean_speed_mps,mean_total_delay_ms,mean_delay_distance_m,mean_planner_compute_ms,mean_costmap_update_ms,mean_min_clearance_m
mppi,0.5-1.0,44,35,9,0,0,79.55,20.45,0.0,0.8012,168.989,0.1386,30.408,3.581,0.9063
mppi,1.0-1.5,39,34,5,0,0,87.18,12.82,0.0,1.2123,170.632,0.1989,31.961,3.671,1.0866
mppi,<0.5,32,32,0,0,0,100.0,0.0,0.0,0.1746,169.126,0.1721,30.421,3.705,1.6467
mppi,>=1.5,13,12,1,0,0,92.31,7.69,0.0,2.9354,170.563,0.4256,31.795,3.767,1.015
rrt,0.5-1.0,44,37,0,7,7,84.09,0.0,15.91,0.8012,155.118,0.1284,16.527,3.592,0.8956
rrt,1.0-1.5,39,34,1,4,4,87.18,2.56,10.26,1.2123,147.993,0.1728,9.204,3.789,1.0784
rrt,<0.5,32,32,0,0,0,100.0,0.0,0.0,0.1746,144.41,0.0229,5.708,3.702,1.6325
rrt,>=1.5,13,12,0,1,1,92.31,0.0,7.69,2.9354,151.803,0.3956,13.005,3.798,1.0115
rrt_star,0.5-1.0,44,37,0,7,7,84.09,0.0,15.91,0.8012,211.93,0.1757,73.193,3.737,0.8895
rrt_star,1.0-1.5,39,33,1,5,5,84.62,2.56,12.82,1.2123,166.784,0.1995,28.062,3.722,1.0761
rrt_star,<0.5,32,32,0,0,0,100.0,0.0,0.0,0.1746,166.285,0.0404,27.641,3.643,1.6323
rrt_star,>=1.5,13,11,0,2,2,84.62,0.0,15.38,2.9354,161.33,0.4045,22.548,3.782,1.0034
