sequence,case_id,planner,time_s,speed_mps,speed_bin,metric_frame,uav_profile,uav_profile_label,recorded_clearance_at_t_m,sensor_hz,sensor_period_ms,sensor_pipeline_ms,raw_costmap_update_ms,costmap_update_ms,raw_planner_compute_ms,planner_compute_ms,control_publish_ms,costmap_scale,planner_scale,total_delay_ms,delay_distance_m,goal_lookahead_s,min_clearance_m,collision,safety_violation,status,planner_failed,failure_reason,occupied_costmap_cells,costmap_width,costmap_height,costmap_layers
1,0,rrt,7.375,0.5756,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.226,10.0,100.0,20.0,0.518,3.777,0.342,5.684,15.0,1.5,2.0,144.461,0.0823,1.5,1.4999,0,0,safe,0,,4380,39,46,45
1,1,rrt,7.7375,0.5711,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.0601,10.0,100.0,20.0,0.598,3.897,0.343,5.686,15.0,1.5,2.0,144.583,0.0829,1.5,1.355,0,0,safe,0,,4380,39,43,45
1,2,rrt,8.1,0.61,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.9004,10.0,100.0,20.0,0.343,3.514,0.338,5.676,15.0,1.5,2.0,144.191,0.0892,1.5,1.238,0,0,safe,0,,4500,39,41,45
1,3,rrt,8.4625,0.6619,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.7393,10.0,100.0,20.0,0.443,3.664,0.312,5.625,15.0,1.5,2.0,144.289,0.097,1.5,1.1971,0,0,safe,0,,4560,39,39,45
1,4,rrt,8.8125,0.7224,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.588,10.0,100.0,20.0,0.572,3.859,0.314,5.628,15.0,1.5,2.0,144.487,0.1065,1.5,1.2104,0,0,safe,0,,4500,40,39,45
1,5,rrt,9.175,0.7909,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.4382,10.0,100.0,20.0,0.582,3.874,0.382,5.764,15.0,1.5,2.0,144.637,0.1177,1.5,1.2156,0,0,safe,0,,4620,40,39,45
1,6,rrt,9.5375,0.845,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.2976,10.0,100.0,20.0,0.482,3.723,0.342,5.684,15.0,1.5,2.0,144.407,0.1215,1.5,1.2029,0,0,safe,0,,4620,40,37,45
1,7,rrt,9.9,0.8688,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.209,10.0,100.0,20.0,0.524,3.786,0.328,5.656,15.0,1.5,2.0,144.443,0.1242,1.5,1.196,0,0,safe,0,,4620,40,34,45
1,0,rrt_star,7.375,0.5756,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.226,10.0,100.0,20.0,0.416,3.624,0.307,5.613,15.0,1.5,2.0,144.237,0.0822,1.5,1.5015,0,0,safe,0,,4380,39,46,45
1,1,rrt_star,7.7375,0.5711,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.0601,10.0,100.0,20.0,0.414,3.621,0.319,5.637,15.0,1.5,2.0,144.258,0.0827,1.5,1.355,0,0,safe,0,,4380,39,43,45
1,2,rrt_star,8.1,0.61,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.9004,10.0,100.0,20.0,0.495,3.743,0.325,5.649,15.0,1.5,2.0,144.392,0.0894,1.5,1.238,0,0,safe,0,,4500,39,41,45
