planner,sensor_hz,uav_speed_mps,case_id,seed,fixed_altitude_m,lidar_period_ms,map_update_ms,planner_compute_ms,control_publish_ms,total_delay_ms,distance_during_delay_m,direct_safety_breach_range_m,direct_body_contact_range_m,latency_buffer_to_safety_breach_m,latency_buffer_to_body_contact_m,min_esdf_distance_m,min_body_clearance_m,min_safety_margin_m,collision,safety_violation,status,planner_failed,failure_reason
rrt,10.0,1.0,0,1300,1.5,100.0,5.881,2.562,10.0,118.443,0.1184,1.4222,1.8028,1.3037,1.6843,0.4303,0.2303,-0.0197,0,1,violation,0,
rrt,10.0,1.0,1,1301,1.5,100.0,5.881,3.92,10.0,119.801,0.1198,1.4222,1.8028,1.3024,1.683,0.6719,0.4719,0.2219,0,0,safe,0,
rrt,10.0,1.0,2,1302,1.5,100.0,5.881,2.911,10.0,118.793,0.1188,1.4222,1.8028,1.3034,1.684,0.457,0.257,0.007,0,0,safe,0,
rrt,10.0,1.0,3,1303,1.5,100.0,5.881,5.902,10.0,121.784,0.1218,1.4222,1.8028,1.3004,1.681,0.5322,0.3322,0.0822,0,0,safe,0,
rrt,10.0,1.0,4,1304,1.5,100.0,5.881,5.203,10.0,121.084,0.1211,1.4222,1.8028,1.3011,1.6817,0.406,0.206,-0.044,0,1,violation,0,
rrt,10.0,1.0,5,1305,1.5,100.0,5.881,2.93,10.0,118.812,0.1188,1.4222,1.8028,1.3034,1.6839,0.4909,0.2909,0.0409,0,0,safe,0,
rrt,10.0,1.0,6,1306,1.5,100.0,5.881,2.685,10.0,118.566,0.1186,1.4222,1.8028,1.3036,1.6842,0.5556,0.3556,0.1056,0,0,safe,0,
rrt,10.0,1.0,7,1307,1.5,100.0,5.881,1.557,10.0,117.438,0.1174,1.4222,1.8028,1.3047,1.6853,0.4249,0.2249,-0.0251,0,1,violation,0,
rrt,10.0,2.0,0,1400,1.5,100.0,5.881,2.237,10.0,118.119,0.2362,1.4222,1.8028,1.1859,1.5665,0.4488,0.2488,-0.0012,0,1,violation,0,
rrt,10.0,2.0,1,1401,1.5,100.0,5.881,0.993,10.0,116.875,0.2337,1.4222,1.8028,1.1884,1.569,0.6473,0.4473,0.1973,0,0,safe,0,
