scenario,sensor_hz,lidar_period_ms,uav_speed_mps,mppi_rollouts,mppi_iterations,mppi_horizon_steps,map_update_ms,mppi_compute_ms,control_publish_ms,total_delay_ms,distance_during_delay_m,direct_safety_breach_range_m,direct_body_contact_range_m,latency_buffer_to_safety_breach_m,latency_buffer_to_body_contact_m,min_esdf_distance_m,min_body_clearance_m,min_safety_margin_m,collision,safety_violation,occupied_voxels,voxels_total,seed
online10hz_2mps_seed101,10.0,100.0,2.0,1152,12,72,729.184,152.86,10.0,992.044,1.9841,1.4322,1.8028,-0.5519,-0.1813,-0.029,-0.229,-0.479,1,1,3084,43680,101
online10hz_2mps_seed102,10.0,100.0,2.0,1152,12,72,729.184,147.175,10.0,986.359,1.9727,1.4322,1.8028,-0.5405,-0.17,-0.0093,-0.2093,-0.4593,1,1,3084,43680,102
online10hz_2mps_seed103,10.0,100.0,2.0,1152,12,72,729.184,155.17,10.0,994.354,1.9887,1.4322,1.8028,-0.5565,-0.186,-0.037,-0.237,-0.487,1,1,3084,43680,103
online10hz_2mps_seed104,10.0,100.0,2.0,1152,12,72,729.184,146.777,10.0,985.961,1.9719,1.4322,1.8028,-0.5397,-0.1692,-0.0079,-0.2079,-0.4579,1,1,3084,43680,104
online10hz_2mps_seed105,10.0,100.0,2.0,1152,12,72,729.184,147.377,10.0,986.562,1.9731,1.4322,1.8028,-0.5409,-0.1704,-0.01,-0.21,-0.46,1,1,3084,43680,105
online10hz_2mps_seed106,10.0,100.0,2.0,1152,12,72,729.184,145.951,10.0,985.135,1.9703,1.4322,1.8028,-0.5381,-0.1675,-0.005,-0.205,-0.455,1,1,3084,43680,106
online10hz_2mps_seed107,10.0,100.0,2.0,1152,12,72,729.184,146.382,10.0,985.566,1.9711,1.4322,1.8028,-0.5389,-0.1684,-0.0065,-0.2065,-0.4565,1,1,3084,43680,107
online10hz_2mps_seed108,10.0,100.0,2.0,1152,12,72,729.184,149.996,10.0,989.181,1.9784,1.4322,1.8028,-0.5462,-0.1756,-0.0191,-0.2191,-0.4691,1,1,3084,43680,108
online10hz_3mps_seed101,10.0,100.0,3.0,1152,12,72,729.184,154.533,10.0,993.717,2.9812,1.4322,1.8028,-1.549,-1.1784,-0.0962,-0.2962,-0.5462,1,1,3084,43680,101
online10hz_3mps_seed102,10.0,100.0,3.0,1152,12,72,729.184,150.544,10.0,989.728,2.9692,1.4322,1.8028,-1.537,-1.1664,-0.0749,-0.2749,-0.5249,1,1,3084,43680,102
online10hz_3mps_seed103,10.0,100.0,3.0,1152,12,72,729.184,181.686,10.0,1020.87,3.0626,1.4322,1.8028,-1.6304,-1.2599,-0.0947,-0.2947,-0.5447,1,1,3084,43680,103
online10hz_3mps_seed104,10.0,100.0,3.0,1152,12,72,729.184,149.043,10.0,988.228,2.9647,1.4322,1.8028,-1.5325,-1.1619,-0.0803,-0.2803,-0.5303,1,1,3084,43680,104
online10hz_3mps_seed105,10.0,100.0,3.0,1152,12,72,729.184,150.979,10.0,990.164,2.9705,1.4322,1.8028,-1.5383,-1.1677,-0.0912,-0.2912,-0.5412,1,1,3084,43680,105
online10hz_3mps_seed106,10.0,100.0,3.0,1152,12,72,729.184,158.568,10.0,997.752,2.9933,1.4322,1.8028,-1.5611,-1.1905,-0.0819,-0.2819,-0.5319,1,1,3084,43680,106
online10hz_3mps_seed107,10.0,100.0,3.0,1152,12,72,729.184,148.378,10.0,987.562,2.9627,1.4322,1.8028,-1.5305,-1.1599,-0.0827,-0.2827,-0.5327,1,1,3084,43680,107
online10hz_3mps_seed108,10.0,100.0,3.0,1152,12,72,729.184,147.516,10.0,986.7,2.9601,1.4322,1.8028,-1.5279,-1.1573,-0.0858,-0.2858,-0.5358,1,1,3084,43680,108
online10hz_4mps_seed101,10.0,100.0,4.0,1152,12,72,729.184,170.978,10.0,1010.162,4.0406,1.4322,1.8028,-2.6085,-2.2379,-0.0821,-0.2821,-0.5321,1,1,3084,43680,101
online10hz_4mps_seed102,10.0,100.0,4.0,1152,12,72,729.184,146.671,10.0,985.855,3.9434,1.4322,1.8028,-2.5112,-2.1407,-0.0888,-0.2888,-0.5388,1,1,3084,43680,102
online10hz_4mps_seed103,10.0,100.0,4.0,1152,12,72,729.184,145.508,10.0,984.692,3.9388,1.4322,1.8028,-2.5066,-2.136,-0.0929,-0.2929,-0.5429,1,1,3084,43680,103
online10hz_4mps_seed104,10.0,100.0,4.0,1152,12,72,729.184,146.06,10.0,985.245,3.941,1.4322,1.8028,-2.5088,-2.1382,-0.091,-0.291,-0.541,1,1,3084,43680,104
online10hz_4mps_seed105,10.0,100.0,4.0,1152,12,72,729.184,151.108,10.0,990.293,3.9612,1.4322,1.8028,-2.529,-2.1584,-0.0995,-0.2995,-0.5495,1,1,3084,43680,105
online10hz_4mps_seed106,10.0,100.0,4.0,1152,12,72,729.184,145.225,10.0,984.409,3.9376,1.4322,1.8028,-2.5055,-2.1349,-0.094,-0.294,-0.544,1,1,3084,43680,106
online10hz_4mps_seed107,10.0,100.0,4.0,1152,12,72,729.184,156.151,10.0,995.335,3.9813,1.4322,1.8028,-2.5492,-2.1786,-0.0816,-0.2816,-0.5316,1,1,3084,43680,107
online10hz_4mps_seed108,10.0,100.0,4.0,1152,12,72,729.184,205.236,10.0,1044.421,4.1777,1.4322,1.8028,-2.7455,-2.3749,-0.0928,-0.2928,-0.5428,1,1,3084,43680,108
online10hz_5mps_seed101,10.0,100.0,5.0,1152,12,72,729.184,145.054,10.0,984.238,4.9212,1.4322,1.8028,-3.489,-3.1184,-0.0946,-0.2946,-0.5446,1,1,3084,43680,101
online10hz_5mps_seed102,10.0,100.0,5.0,1152,12,72,729.184,146.709,10.0,985.893,4.9295,1.4322,1.8028,-3.4973,-3.1267,-0.0887,-0.2887,-0.5387,1,1,3084,43680,102
online10hz_5mps_seed103,10.0,100.0,5.0,1152,12,72,729.184,145.415,10.0,984.6,4.923,1.4322,1.8028,-3.4908,-3.1202,-0.0933,-0.2933,-0.5433,1,1,3084,43680,103
online10hz_5mps_seed104,10.0,100.0,5.0,1152,12,72,729.184,150.126,10.0,989.31,4.9466,1.4322,1.8028,-3.5144,-3.1438,-0.0764,-0.2764,-0.5264,1,1,3084,43680,104
online10hz_5mps_seed105,10.0,100.0,5.0,1152,12,72,729.184,251.242,10.0,1090.427,5.4521,1.4322,1.8028,-4.0199,-3.6494,-0.0791,-0.2791,-0.5291,1,1,3084,43680,105
online10hz_5mps_seed106,10.0,100.0,5.0,1152,12,72,729.184,145.581,10.0,984.765,4.9238,1.4322,1.8028,-3.4916,-3.1211,-0.0927,-0.2927,-0.5427,1,1,3084,43680,106
online10hz_5mps_seed107,10.0,100.0,5.0,1152,12,72,729.184,144.965,10.0,984.149,4.9207,1.4322,1.8028,-3.4886,-3.118,-0.0949,-0.2949,-0.5449,1,1,3084,43680,107
online10hz_5mps_seed108,10.0,100.0,5.0,1152,12,72,729.184,154.443,10.0,993.627,4.9681,1.4322,1.8028,-3.5359,-3.1654,-0.0824,-0.2824,-0.5324,1,1,3084,43680,108
online10hz_6mps_seed101,10.0,100.0,6.0,1152,12,72,729.184,142.934,10.0,982.118,5.8927,1.4322,1.8028,-4.4605,-4.09,-0.0843,-0.2843,-0.5343,1,1,3084,43680,101
online10hz_6mps_seed102,10.0,100.0,6.0,1152,12,72,729.184,161.37,10.0,1000.555,6.0033,1.4322,1.8028,-4.5711,-4.2006,-0.0896,-0.2896,-0.5396,1,1,3084,43680,102
online10hz_6mps_seed103,10.0,100.0,6.0,1152,12,72,729.184,148.372,10.0,987.556,5.9253,1.4322,1.8028,-4.4932,-4.1226,-0.0827,-0.2827,-0.5327,1,1,3084,43680,103
online10hz_6mps_seed104,10.0,100.0,6.0,1152,12,72,729.184,148.446,10.0,987.631,5.9258,1.4322,1.8028,-4.4936,-4.123,-0.0824,-0.2824,-0.5324,1,1,3084,43680,104
online10hz_6mps_seed105,10.0,100.0,6.0,1152,12,72,729.184,144.201,10.0,983.385,5.9003,1.4322,1.8028,-4.4681,-4.0976,-0.0798,-0.2798,-0.5298,1,1,3084,43680,105
online10hz_6mps_seed106,10.0,100.0,6.0,1152,12,72,729.184,144.776,10.0,983.96,5.9038,1.4322,1.8028,-4.4716,-4.101,-0.0777,-0.2777,-0.5277,1,1,3084,43680,106
online10hz_6mps_seed107,10.0,100.0,6.0,1152,12,72,729.184,144.787,10.0,983.972,5.9038,1.4322,1.8028,-4.4716,-4.1011,-0.0777,-0.2777,-0.5277,1,1,3084,43680,107
