sequence,time_s,depth_min,depth_p10,depth_median,radar_peak,radar_peak_bin,radar_energy,imu_acc_norm,imu_gyro_norm,clearance_m,risk_label,future_risk_label
3,0.0,31.0,45.0,117.0,2648.4433,45,283164.3296,11.2076,0.3928,4.4947,safe,no_future_risk
3,0.2,27.0,42.0,115.0,2603.6868,45,343584.2948,9.6139,0.2268,4.489,safe,no_future_risk
3,0.4,23.0,38.0,105.0,2905.0641,12,524205.9833,8.9019,0.1268,4.4746,safe,no_future_risk
3,0.6,25.0,39.0,101.0,3290.0273,45,563452.0785,9.7909,0.1059,4.4458,safe,no_future_risk
3,0.8,23.0,34.0,96.0,3944.7161,45,551157.0047,9.0948,0.0851,4.3982,safe,no_future_risk
3,1.0,21.0,32.0,88.0,3273.5198,28,563548.0493,9.2885,0.0729,4.334,safe,no_future_risk
3,1.2,29.0,40.0,92.0,2638.9292,44,417681.9864,8.6114,0.11,4.2539,safe,no_future_risk
3,1.4,30.0,46.0,100.0,2459.5895,11,351074.3989,9.1877,0.0898,4.1602,safe,no_future_risk
3,1.6,28.0,42.0,93.0,2596.8368,43,522933.8342,9.6072,0.1259,4.0542,safe,no_future_risk
3,1.8,20.0,35.0,93.0,3570.4822,43,468824.3753,9.4315,0.1418,3.9372,safe,no_future_risk
3,2.0,26.0,39.0,95.0,4142.0625,43,576415.3419,9.7034,0.1915,3.8114,safe,no_future_risk
3,2.2,25.0,38.0,97.0,3747.7173,42,681771.7109,8.9677,0.1244,3.6786,safe,no_future_risk
3,2.4,24.0,36.0,92.0,3608.7523,42,612665.2053,9.3119,0.152,3.5407,safe,no_future_risk
3,2.6,23.0,33.0,87.0,3464.4612,41,616556.3972,9.5778,0.0847,3.3983,safe,no_future_risk
3,2.8,19.0,32.0,89.0,3379.3894,41,511428.1673,10.5488,0.2425,3.2496,safe,no_future_risk
3,3.0,11.0,24.0,76.0,3479.4009,41,561619.2236,9.8748,0.1916,3.0939,safe,no_future_risk
3,3.2,9.0,21.0,72.0,5396.1674,40,943789.5652,9.5123,0.1072,2.9333,safe,no_future_risk
3,3.4,10.0,18.0,64.5,6340.5721,40,1134115.9221,9.772,0.1602,2.7688,safe,no_future_risk
3,3.6,5.0,12.0,51.0,5375.0816,39,874137.8198,9.491,0.19,2.5984,safe,no_future_risk
3,3.8,8.0,14.0,49.0,4914.9738,39,910981.9928,8.615,0.1228,2.4227,safe,no_future_risk
3,4.0,8.0,13.0,43.0,4581.3965,39,944791.9854,9.0997,0.163,2.2431,safe,no_future_risk
3,4.2,9.0,14.0,39.0,7045.1515,38,1410323.3307,9.3302,0.115,2.0603,safe,no_future_risk
3,4.4,17.0,26.0,50.0,5920.8213,37,1164336.8497,8.7028,0.1513,1.8769,safe,no_future_risk
3,4.6,15.0,28.0,56.0,4054.4291,37,784688.3167,10.281,0.1428,1.6957,safe,no_future_risk
3,4.8,29.0,39.0,70.0,3366.4075,19,593957.4149,9.5257,0.1272,1.5171,safe,no_future_risk
3,5.0,40.0,51.0,81.0,3365.8118,36,585854.9756,8.8385,0.1925,1.3468,safe,no_future_risk
3,5.2,35.0,46.0,74.0,4637.0668,35,735914.2206,9.3425,0.1725,1.1744,safe,future_risk
3,5.4,34.0,42.0,71.0,4584.92,35,840488.0467,9.1996,0.0737,1.0091,safe,future_risk
3,5.6,35.0,43.0,68.0,4244.6204,34,778514.4964,9.1993,0.1127,0.852,safe,future_risk
3,5.8,36.0,43.0,73.0,3544.4673,34,670751.8164,9.4411,0.081,0.7051,warning,future_risk
3,6.0,33.0,42.0,74.0,3530.6751,17,462372.4375,9.4847,0.1648,0.5783,warning,future_risk
3,6.2,24.0,34.0,69.0,3841.8128,16,661315.3754,10.6444,0.0764,0.4776,danger,future_risk
3,6.4,18.0,31.0,71.0,4919.5955,16,832533.6395,9.4575,0.1102,0.4355,danger,future_risk
3,6.6,10.0,29.0,71.0,5455.372,15,1003010.4324,9.4669,0.0606,0.4654,danger,future_risk
3,6.8,2.0,28.0,77.0,4959.4072,14,843283.821,9.3114,0.2945,0.5577,warning,no_future_risk
3,7.0,5.0,26.0,79.0,4558.5853,13,753038.319,8.8886,0.0788,0.6894,warning,no_future_risk
3,7.2,16.0,28.0,85.0,2317.8158,17,356816.2376,8.7293,0.0624,0.8436,safe,no_future_risk
3,7.4,6.0,27.0,84.0,3920.0354,17,672906.8616,9.5022,0.0773,1.0177,safe,no_future_risk
3,7.6,3.0,19.0,95.0,6850.0468,16,1350057.3599,9.3886,0.0916,1.2029,safe,no_future_risk
3,7.8,0.0,7.0,34.0,3140.1467,15,519568.3223,9.9183,0.0882,1.3991,safe,no_future_risk
3,8.0,0.0,3.0,46.0,4482.0993,28,911155.082,10.2305,0.1399,1.6045,safe,no_future_risk
3,8.2,0.0,6.0,46.0,1431.293,21,154235.7536,9.1155,1.0569,1.8054,safe,no_future_risk
3,8.4,0.0,11.0,48.0,2181.1592,11,212818.3158,9.0879,0.1359,1.9629,safe,no_future_risk
3,8.6,5.0,33.0,84.0,2921.2007,27,323818.0095,9.0243,0.1917,2.0542,safe,no_future_risk
345,0.0,3.0,25.0,117.0,3407.7873,5,406271.3559,10.5253,0.1517,1.9011,safe,no_future_risk
345,0.2,8.0,29.0,110.0,4112.2085,5,526807.9986,9.9747,0.8776,1.9169,safe,no_future_risk
345,0.4,0.0,18.0,96.0,3801.3284,5,661914.374,12.259,0.2473,1.9276,safe,no_future_risk
345,0.6,0.0,11.0,76.0,2905.7231,6,296173.169,8.073,0.5324,1.9275,safe,no_future_risk
345,0.8,0.0,12.0,70.0,2982.1441,6,298235.9432,9.4163,0.1358,1.9289,safe,no_future_risk
