sequence,time_s,depth_min,depth_p10,depth_median,radar_peak,radar_peak_bin,radar_energy,radar_rd_peak,radar_rd_range_bin,radar_rd_doppler_bin,radar_rd_energy,radar_rd_near_energy,radar_rd_doppler_spread,radar_rd_range_spread,imu_acc_norm,imu_gyro_norm,clearance_m,risk_label,future_risk_label
1,0.0,2.8641,3.1512,4.7626,1561.0699,23,173321.5175,25271.5801,23,8,2647885.9925,8345126.9716,0.2638,9.3058,9.8664,0.4929,5.8536,safe,no_future_risk
1,0.2,2.7951,3.0453,4.568,1670.8418,27,168881.2336,26028.3984,27,8,2660808.896,8959396.9201,0.2098,9.4947,8.9648,0.1169,5.8466,safe,no_future_risk
1,0.4,2.9048,3.1828,4.7527,1358.417,28,122747.2151,20932.6211,28,8,1884397.4036,6079713.0996,0.2696,10.8158,9.023,0.0853,5.8383,safe,no_future_risk
1,0.6,2.5441,2.7947,4.2673,2121.9268,23,208108.374,33773.6797,23,8,3316392.9002,11135719.3171,0.214,9.4187,9.9569,0.1815,5.8285,safe,no_future_risk
1,0.8,2.7532,2.9902,4.3796,2038.0924,30,251101.1477,32638.3008,23,8,3974657.4071,13258174.5293,0.2318,10.2118,9.0694,0.2147,5.8183,safe,no_future_risk
1,1.0,2.9469,3.2063,4.6973,2907.7204,26,391988.3466,47395.2578,26,8,6660800.3073,24292059.3575,0.5625,7.3073,9.6656,0.1359,5.803,safe,no_future_risk
1,1.2,2.9897,3.2782,4.8824,2453.5993,29,331979.644,38339.5312,29,8,5199736.39,17522156.2511,0.8675,8.5346,10.0122,0.1217,5.7761,safe,no_future_risk
1,1.4,2.9869,3.3048,5.0715,3495.1366,27,343189.4791,45101.5508,27,8,5464221.2314,19523485.2418,1.1971,8.592,8.9375,0.077,5.7334,safe,no_future_risk
1,1.6,2.9132,3.2202,4.9164,2188.4153,28,289587.9638,28600.5723,27,8,4591334.6499,14106395.9271,1.3608,10.2478,8.6908,0.1254,5.6761,safe,no_future_risk
1,1.8,2.9623,3.2429,4.8579,2685.8271,29,332002.2767,27109.3633,29,8,4972816.7921,16001455.5981,1.5051,9.4257,9.1677,0.148,5.6061,safe,no_future_risk
1,2.0,3.0749,3.3619,5.0707,4025.1867,29,402091.9368,41415.1797,29,8,6500471.0885,22515705.3482,1.4666,7.8414,8.6824,0.0807,5.525,safe,no_future_risk
1,2.2,3.0214,3.3045,4.8966,1888.9064,28,246434.5546,17107.1973,28,7,3581491.7252,10943850.8568,1.4461,10.4299,8.8344,0.1159,5.437,safe,no_future_risk
1,2.4,3.0414,3.3387,4.9951,2759.4162,25,387838.1982,31229.9648,25,7,6297899.1111,21738198.2173,1.4314,7.9852,9.8586,0.1147,5.3468,safe,no_future_risk
1,2.6,3.0135,3.3315,4.9244,2695.9781,29,324787.4473,30509.3164,29,7,4463661.5082,14759614.1367,1.3943,8.9482,9.0081,0.0964,5.251,safe,no_future_risk
1,2.8,2.8783,3.1645,4.6023,2221.5859,28,269348.8349,28212.7598,29,7,4217006.0915,15183590.1911,1.3729,8.9339,9.3921,0.0978,5.1509,safe,no_future_risk
1,3.0,2.9658,3.2696,4.6664,3531.9823,25,469837.2082,46977.1484,25,7,7343317.0358,26247877.5299,1.2904,8.3773,9.7857,0.0716,5.0457,safe,no_future_risk
1,3.2,3.0652,3.3398,4.8695,3454.4658,25,528844.1482,54277.5859,25,7,9180450.9089,33785158.7376,1.1745,7.9568,9.678,0.0508,4.9358,safe,no_future_risk
1,3.4,3.1544,3.4782,5.1186,3168.3219,24,393297.9359,42604.6328,24,7,6018816.4121,22495367.3947,1.0666,8.7721,9.7186,0.0583,4.8197,safe,no_future_risk
1,3.6,2.7393,3.0418,4.2911,1513.838,13,164284.2586,22351.4883,13,7,2670573.1104,9288696.8079,1.023,11.658,8.9508,0.1238,4.6986,safe,no_future_risk
1,3.8,3.1359,3.4376,4.6759,2774.2926,27,308614.8872,43205.4766,27,7,5247428.5133,19650890.8869,0.9,9.5522,9.1801,0.0486,4.5736,safe,no_future_risk
1,4.0,3.0145,3.2927,4.4071,2125.9431,12,236659.159,34210.2266,12,7,3709779.9065,13457877.1159,0.6778,11.2452,8.9078,0.1111,4.4431,safe,no_future_risk
1,4.2,2.98,3.221,4.1612,2902.323,23,348786.8856,44468.2891,23,7,5373215.797,19603786.213,0.584,9.7483,9.5041,0.1215,4.308,safe,no_future_risk
1,4.4,2.7351,2.9683,3.9602,2880.7157,22,295023.9281,52312.1289,22,7,5452076.1779,20901616.7609,0.485,7.9963,8.7162,0.0617,4.1706,safe,no_future_risk
1,4.6,2.7187,2.94,3.8791,2653.9481,11,435077.9853,42335.5977,11,7,6956034.6712,26151104.0666,0.545,8.7249,9.3485,0.1189,4.0312,safe,no_future_risk
1,4.8,2.8084,2.9897,3.8371,3366.3812,28,554414.2272,52910.0156,28,7,9369803.8306,35732658.8711,0.4715,8.9359,9.4426,0.1058,3.8875,safe,no_future_risk
1,5.0,2.9884,3.1901,4.1249,3330.2668,21,554259.658,50495.4102,26,7,8776095.5399,33787017.1635,0.4861,8.2444,8.7807,0.1304,3.7383,safe,no_future_risk
1,5.2,2.87,3.0802,3.8823,2928.2642,21,476148.4343,47232.5352,26,7,7623828.529,28958586.1705,0.5323,8.841,10.1562,0.186,3.5859,safe,no_future_risk
1,5.4,2.8367,3.0386,3.7033,2568.2912,19,373851.7867,41591.1016,20,7,6001049.0453,22452612.2347,0.6951,9.9683,9.3393,0.0982,3.4319,safe,no_future_risk
1,5.6,2.5772,2.7666,3.2436,2532.2006,9,484137.7573,40818.4453,9,7,6361405.0408,24154695.3885,0.5151,9.0646,10.1388,0.129,3.2809,safe,no_future_risk
1,5.8,2.7578,2.9487,3.2598,2805.4872,25,385295.2784,43498.5117,19,7,6385634.9938,24701548.1503,0.6617,7.636,8.6864,0.1,3.1353,safe,no_future_risk
