sequence,obstacles,min_center_distance_m,min_boundary_clearance_m,closest_time_s,closest_index,closest_obstacle_index,collision,safety_violation,safety_distance_m,path_length_m,duration_s,mean_speed_mps,avoidance_label,computation_time_ms,method,planner_compute_time_ms,waypoint_count,smoothness_heading_change,safe_count,warning_count,danger_count,collision_count,future_risk_count,danger_or_collision_rate,future_risk_rate,budget_label
3,1,0.8307,0.6307,6.1375,491,0,0,0,0.5,6.8643,8.925,0.7691,left,0.0416,rrt,12.5796,3,2.5e-05,599,116,0,0,0,0.0,0.0,iter=300
3,1,0.7195,0.5195,6.075,486,0,0,0,0.5,6.8487,8.925,0.7674,left,0.034,rrt,1.2914,3,4.2e-05,570,145,0,0,0,0.0,0.0,iter=600
3,1,0.75,0.55,6.1,488,0,0,0,0.5,6.8864,8.925,0.7716,left,0.0321,rrt,1.2577,3,0.000246,578,137,0,0,0,0.0,0.0,iter=900
3,1,0.715,0.515,6.075,486,0,0,0,0.5,6.8434,8.925,0.7668,left,0.0319,rrt_star,26.3473,3,2.7e-05,569,146,0,0,0,0.0,0.0,iter=300
3,1,0.7195,0.5195,6.075,486,0,0,0,0.5,6.8435,8.925,0.7668,left,0.0371,rrt_star,86.133,3,1.1e-05,570,145,0,0,0,0.0,0.0,iter=600
3,1,0.7068,0.5068,6.0625,485,0,0,0,0.5,6.8416,8.925,0.7666,left,0.039,rrt_star,177.0697,3,1.7e-05,567,148,0,0,0,0.0,0.0,iter=900
3,1,0.9429,0.7429,6.15,492,0,0,0,0.5,6.8607,8.925,0.7687,left,0.0314,mppi,2.6383,50,2.1e-05,631,84,0,0,0,0.0,0.0,"rollouts=96,iter=3"
3,1,0.9429,0.7429,6.15,492,0,0,0,0.5,6.8607,8.925,0.7687,left,0.03,mppi,3.9396,50,2.1e-05,631,84,0,0,0,0.0,0.0,"rollouts=192,iter=5"
3,1,0.9429,0.7429,6.15,492,0,0,0,0.5,6.8607,8.925,0.7687,left,0.0348,mppi,10.5796,50,2.1e-05,631,84,0,0,0,0.0,0.0,"rollouts=384,iter=8"
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0447,rrt,1.9743,2,0.0,1070,85,0,0,0,0.0,0.0,iter=300
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0376,rrt,1.922,2,0.0,1070,85,0,0,0,0.0,0.0,iter=600
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.037,rrt,1.8877,2,0.0,1070,85,0,0,0,0.0,0.0,iter=900
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0361,rrt_star,1.9297,2,0.0,1070,85,0,0,0,0.0,0.0,iter=300
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0358,rrt_star,1.909,2,0.0,1070,85,0,0,0,0.0,0.0,iter=600
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0477,rrt_star,1.8932,2,0.0,1070,85,0,0,0,0.0,0.0,iter=900
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0386,mppi,3.1523,50,0.0,1070,85,0,0,0,0.0,0.0,"rollouts=96,iter=3"
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0373,mppi,4.4838,50,0.0,1070,85,0,0,0,0.0,0.0,"rollouts=192,iter=5"
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0415,mppi,8.8849,50,0.0,1070,85,0,0,0,0.0,0.0,"rollouts=384,iter=8"
1,1,1.3874,1.1874,10.8625,869,0,0,0,0.5,6.5364,12.05,0.5424,right,0.0354,rrt,1.5867,2,0.0,965,0,0,0,0,0.0,0.0,iter=300
1,1,1.3874,1.1874,10.8625,869,0,0,0,0.5,6.5364,12.05,0.5424,right,0.0359,rrt,1.6346,2,0.0,965,0,0,0,0,0.0,0.0,iter=600
1,1,1.3874,1.1874,10.8625,869,0,0,0,0.5,6.5364,12.05,0.5424,right,0.0333,rrt,1.5858,2,0.0,965,0,0,0,0,0.0,0.0,iter=900
1,1,1.3874,1.1874,10.8625,869,0,0,0,0.5,6.5364,12.05,0.5424,right,0.0331,rrt_star,1.5846,2,0.0,965,0,0,0,0,0.0,0.0,iter=300
1,1,1.3874,1.1874,10.8625,869,0,0,0,0.5,6.5364,12.05,0.5424,right,0.0325,rrt_star,1.6042,2,0.0,965,0,0,0,0,0.0,0.0,iter=600
