frontend,source,algorithm,sensor_period_ms,frontend_to_occupancy_ms,mppi_compute_ms,control_publish_ms,uav_speed_mps,total_delay_ms,distance_during_delay_m,latency_buffer_to_safety_breach_m,latency_buffer_to_body_contact_m,min_body_clearance_m,min_safety_margin_m,collision,safety_violation,occupied_cells,grid_shape,note,case_id,mppi_seed,status
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,53.078,10.0,1.0,169.224,0.1692,1.2529,1.6335,0.3668,0.1168,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,0,800,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,43.902,10.0,1.0,160.049,0.16,1.2621,1.6427,0.3783,0.1283,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,1,801,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,46.657,10.0,1.0,162.804,0.1628,1.2594,1.6399,0.3761,0.1261,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,2,802,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,37.042,10.0,1.0,153.188,0.1532,1.269,1.6496,0.3806,0.1306,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,3,803,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,34.033,10.0,1.0,150.179,0.1502,1.272,1.6526,0.3857,0.1357,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,4,804,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,49.807,10.0,1.0,165.954,0.166,1.2562,1.6368,0.385,0.135,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,5,805,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,42.758,10.0,1.0,158.905,0.1589,1.2633,1.6438,0.385,0.135,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,6,806,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,37.229,10.0,1.0,153.375,0.1534,1.2688,1.6494,0.3857,0.1357,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,7,807,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,94.797,10.0,2.0,210.943,0.4219,1.0003,1.3809,0.2519,0.0019,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,0,900,safe
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,6.146,99.632,10.0,2.0,215.778,0.4316,0.9906,1.3712,0.2624,0.0124,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing,1,901,safe
