frontend,source,algorithm,sensor_period_ms,frontend_to_occupancy_ms,mppi_compute_ms,control_publish_ms,uav_speed_mps,total_delay_ms,distance_during_delay_m,latency_buffer_to_safety_breach_m,latency_buffer_to_body_contact_m,min_body_clearance_m,min_safety_margin_m,collision,safety_violation,occupied_cells,grid_shape,note
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,5.936,29.368,10.0,1.0,145.304,0.1453,1.2769,1.6574,0.3875,0.1375,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,5.936,84.799,10.0,2.0,200.735,0.4015,1.0207,1.4013,0.2696,0.0196,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,5.936,184.204,10.0,3.0,300.14,0.9004,0.5218,0.9023,0.5214,0.2714,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,5.936,187.858,10.0,4.0,303.794,1.2152,0.207,0.5876,0.4018,0.1518,0,0,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,5.936,185.663,10.0,5.0,301.598,1.508,-0.0858,0.2948,0.192,-0.058,0,1,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing
ideal_occupancy_esdf,synthetic_gt,ground-truth occupancy -> ESDF distance transform,100.0,5.936,183.83,10.0,6.0,299.766,1.7986,-0.3764,0.0042,-0.0654,-0.3154,1,1,3084,3D 43680 voxels,upper-bound map frontend; no raw sensor processing
oda_cached_depth_to_grid,ODA RGB cached depth,relative depth image -> 2D occupancy projection,200.0,2.304,33.433,10.0,1.0,245.737,0.2457,1.1764,1.557,0.3496,0.0996,0,0,139,80x80,postprocess only; depth prediction already cached
oda_cached_depth_to_grid,ODA RGB cached depth,relative depth image -> 2D occupancy projection,200.0,2.304,88.114,10.0,2.0,300.418,0.6008,0.8213,1.2019,0.4933,0.2433,0,0,139,80x80,postprocess only; depth prediction already cached
oda_cached_depth_to_grid,ODA RGB cached depth,relative depth image -> 2D occupancy projection,200.0,2.304,181.116,10.0,3.0,393.42,1.1803,0.2419,0.6225,0.4179,0.1679,0,0,139,80x80,postprocess only; depth prediction already cached
oda_cached_depth_to_grid,ODA RGB cached depth,relative depth image -> 2D occupancy projection,200.0,2.304,180.488,10.0,4.0,392.792,1.5712,-0.149,0.2316,0.1497,-0.1003,0,1,139,80x80,postprocess only; depth prediction already cached
oda_cached_depth_to_grid,ODA RGB cached depth,relative depth image -> 2D occupancy projection,200.0,2.304,182.836,10.0,5.0,395.14,1.9757,-0.5535,-0.1729,-0.2144,-0.4644,1,1,139,80x80,postprocess only; depth prediction already cached
oda_cached_depth_to_grid,ODA RGB cached depth,relative depth image -> 2D occupancy projection,200.0,2.304,183.175,10.0,6.0,395.479,2.3729,-0.9507,-0.5701,-0.286,-0.536,1,1,139,80x80,postprocess only; depth prediction already cached
oda_depth_anything_to_grid,ODA RGB,Depth Anything V2 Small wall-time + depth-to-grid,200.0,66.178,33.373,10.0,1.0,309.551,0.3096,1.1126,1.4932,0.3166,0.0666,0,0,139,80x80,dataset replay compute; not camera hardware latency
oda_depth_anything_to_grid,ODA RGB,Depth Anything V2 Small wall-time + depth-to-grid,200.0,66.178,87.98,10.0,2.0,364.158,0.7283,0.6939,1.0744,0.5055,0.2555,0,0,139,80x80,dataset replay compute; not camera hardware latency
oda_depth_anything_to_grid,ODA RGB,Depth Anything V2 Small wall-time + depth-to-grid,200.0,66.178,193.544,10.0,3.0,469.723,1.4092,0.013,0.3936,0.2386,-0.0114,0,1,139,80x80,dataset replay compute; not camera hardware latency
oda_depth_anything_to_grid,ODA RGB,Depth Anything V2 Small wall-time + depth-to-grid,200.0,66.178,190.679,10.0,4.0,466.857,1.8674,-0.4453,-0.0647,-0.0805,-0.3305,1,1,139,80x80,dataset replay compute; not camera hardware latency
oda_depth_anything_to_grid,ODA RGB,Depth Anything V2 Small wall-time + depth-to-grid,200.0,66.178,191.127,10.0,5.0,467.305,2.3365,-0.9144,-0.5338,-0.2792,-0.5292,1,1,139,80x80,dataset replay compute; not camera hardware latency
oda_depth_anything_to_grid,ODA RGB,Depth Anything V2 Small wall-time + depth-to-grid,200.0,66.178,188.698,10.0,6.0,464.876,2.7893,-1.3671,-0.9865,-0.2749,-0.5249,1,1,139,80x80,dataset replay compute; not camera hardware latency
external_lidar_bbox_to_grid,Multi-LiDAR bbox CSV,3D bbox footprints -> 2D occupancy raster,100.0,0.018,34.277,10.0,1.0,144.296,0.1443,1.2779,1.6585,0.3895,0.1395,0,0,626,88x72,not ODA; starts after point-cloud clustering/bbox extraction
external_lidar_bbox_to_grid,Multi-LiDAR bbox CSV,3D bbox footprints -> 2D occupancy raster,100.0,0.018,91.16,10.0,2.0,201.179,0.4024,1.0198,1.4004,0.2721,0.0221,0,0,626,88x72,not ODA; starts after point-cloud clustering/bbox extraction
external_lidar_bbox_to_grid,Multi-LiDAR bbox CSV,3D bbox footprints -> 2D occupancy raster,100.0,0.018,180.379,10.0,3.0,290.398,0.8712,0.551,0.9316,0.5191,0.2691,0,0,626,88x72,not ODA; starts after point-cloud clustering/bbox extraction
external_lidar_bbox_to_grid,Multi-LiDAR bbox CSV,3D bbox footprints -> 2D occupancy raster,100.0,0.018,190.382,10.0,4.0,300.4,1.2016,0.2206,0.6012,0.419,0.169,0,0,626,88x72,not ODA; starts after point-cloud clustering/bbox extraction
external_lidar_bbox_to_grid,Multi-LiDAR bbox CSV,3D bbox footprints -> 2D occupancy raster,100.0,0.018,180.337,10.0,5.0,290.355,1.4518,-0.0296,0.351,0.2054,-0.0446,0,1,626,88x72,not ODA; starts after point-cloud clustering/bbox extraction
external_lidar_bbox_to_grid,Multi-LiDAR bbox CSV,3D bbox footprints -> 2D occupancy raster,100.0,0.018,183.024,10.0,6.0,293.043,1.7583,-0.3361,0.0445,0.0166,-0.2334,0,1,626,88x72,not ODA; starts after point-cloud clustering/bbox extraction
bbox_cached_depth_mux_to_grid,Multi-LiDAR bbox + ODA cached depth,bbox grid + cached depth grid -> merged occupancy,200.0,2.652,33.515,10.0,1.0,246.167,0.2462,1.176,1.5566,0.3496,0.0996,0,0,666,133x75,fusion contract timing; mixed-source proxy
bbox_cached_depth_mux_to_grid,Multi-LiDAR bbox + ODA cached depth,bbox grid + cached depth grid -> merged occupancy,200.0,2.652,87.261,10.0,2.0,299.913,0.5998,0.8223,1.2029,0.4934,0.2434,0,0,666,133x75,fusion contract timing; mixed-source proxy
bbox_cached_depth_mux_to_grid,Multi-LiDAR bbox + ODA cached depth,bbox grid + cached depth grid -> merged occupancy,200.0,2.652,182.727,10.0,3.0,395.379,1.1861,0.236,0.6166,0.4211,0.1711,0,0,666,133x75,fusion contract timing; mixed-source proxy
