sequence,obstacles,ready,has_optitrack,has_rgb_video,has_radar,has_imu,optitrack_bytes,rgb_video_bytes,radar_bytes,imu_bytes
3,1,1,1,1,1,1,67176,59739340,21589094,414768
10,1,1,1,1,1,1,112093,64119136,34939960,724918
1,1,1,1,1,1,1,93991,50868396,29196103,599829
2,1,1,1,1,1,1,74090,65929276,23763159,472013
4,1,1,1,1,1,1,112050,97904828,36018576,711889
5,1,1,1,1,1,1,89880,79300438,29048957,539339
6,1,1,1,1,1,1,88488,72775856,28092772,569593
7,1,1,1,1,1,1,60622,46222470,18467326,359207
8,1,1,1,1,1,1,84679,43227900,25940181,530480
9,1,1,1,1,1,1,77809,39967270,10874345,214615
11,1,1,1,1,1,1,114875,62456222,35718299,716728
12,1,1,1,1,1,1,65584,37331290,20499293,398378
13,1,1,1,1,1,1,85534,45564752,25943746,499227
14,1,1,1,1,1,1,75997,42944222,23763610,491089
15,1,1,1,1,1,1,42507,20570954,13663044,271798
16,1,1,1,1,1,1,84817,49786478,27015763,536863
17,1,1,1,1,1,1,71746,41345168,22826953,499581
18,1,1,1,1,1,1,69691,37074052,22053508,467092
19,1,1,1,1,1,1,78750,42079184,24532442,525641
20,1,1,1,1,1,1,80512,45768672,24380258,493083
21,1,1,1,1,1,1,82605,46415672,25322411,500940
22,1,1,1,1,1,1,80768,43770460,24531190,488030
23,1,1,1,1,1,1,105331,56402052,31844243,643565
24,1,1,1,1,1,1,99618,53015122,29509259,598516
25,1,1,1,1,1,1,93073,50216014,28266263,582332
26,1,1,1,1,1,1,65994,52158258,20491064,405219
27,1,1,1,1,1,1,65807,53389562,20340233,399206
28,1,1,1,1,1,1,89978,72949892,28572204,556750
29,1,1,1,1,1,1,115466,95414490,36338505,739049
30,1,1,1,1,1,1,75965,64728768,24073229,475780
31,1,1,1,1,1,1,67637,57618618,21436612,411789
32,1,1,1,1,1,1,82591,47255318,25778834,528099
33,1,1,1,1,1,1,82402,46465762,25468489,528478
34,1,1,1,1,1,1,89144,49733264,27951640,568190
35,1,1,1,1,1,1,95158,53912034,29655510,609757
36,1,1,1,1,1,1,89603,50033600,27799257,597496
37,1,1,1,1,1,1,90915,51921290,27802399,604203
38,1,1,1,1,1,1,90669,48877784,27953048,655252
39,1,1,1,1,1,1,87015,46476460,27486660,593483
40,1,1,1,1,1,1,92230,51161422,29022959,630751
41,1,1,1,1,1,1,82958,44567916,25621778,556350
42,1,1,1,1,1,1,90430,49305312,28095967,623693
43,1,1,1,1,1,1,68731,38505804,21419930,481202
44,1,1,1,1,1,1,53282,30300948,15838526,340014
45,1,1,1,1,1,1,71752,36444060,22363089,475388
46,1,1,1,1,1,1,54469,29060932,16617547,355579
47,1,1,1,1,1,1,86937,48226254,26716743,574937
48,1,1,1,1,1,1,68875,32716100,20186376,437761
49,1,1,1,1,1,1,58334,30488408,18168744,393544
50,1,1,1,1,1,1,52220,41379174,16618000,363756
345,2,1,1,1,1,1,96465,50216320,29824818,584292
184,2,1,1,1,1,1,69362,45573344,23444955,461890
185,2,1,1,1,1,1,85567,56955018,28724494,590688
186,2,1,1,1,1,1,82936,56021460,28089811,581423
187,2,1,1,1,1,1,75528,50931058,25763813,521725
188,2,1,1,1,1,1,85697,56360278,28272374,565821
189,2,1,1,1,1,1,83678,73021074,28725977,568688
190,2,1,1,1,1,1,76202,65100366,26081021,515037
191,2,1,1,1,1,1,58596,44228920,19868215,376526
192,2,1,1,1,1,1,72018,58768030,24982813,480059
193,2,1,1,1,1,1,58291,46357084,20018517,382139
194,2,1,1,1,1,1,64661,64088842,22663394,411038
195,2,1,1,1,1,1,72720,71148194,25150974,466189
196,2,1,1,1,1,1,66421,68717192,23291787,423643
197,2,1,1,1,1,1,74736,76718702,26076965,489355
198,2,1,1,1,1,1,74934,74422258,26102358,500047
199,2,1,1,1,1,1,74462,63067482,26723163,513976
201,2,1,1,1,1,1,73660,64537340,25624833,535360
202,2,1,1,1,1,1,70524,63332110,24992902,526529
203,2,1,1,1,1,1,60667,57078360,21583104,446338
204,2,1,1,1,1,1,62620,41715378,21740549,470026
205,2,1,1,1,1,1,69907,47921844,24382326,522521
206,2,1,1,1,1,1,77053,52273010,26552733,570633
207,2,1,1,1,1,1,75667,51640548,26239009,571028
208,2,1,1,1,1,1,83946,50875992,29503333,638323
209,2,1,1,1,1,1,71946,49238340,25782565,508495
210,2,1,1,1,1,1,82556,55112392,29044387,570826
211,2,1,1,1,1,1,83585,53957328,29351855,565203
212,2,1,1,1,1,1,76227,50852086,26711212,522086
213,2,1,1,1,1,1,94914,57425898,28021158,642306
214,2,1,1,1,1,1,71851,44961528,24848044,497168
215,2,1,1,1,1,1,80217,50902064,27487277,552888
216,2,1,1,1,1,1,66069,38888078,22210105,438830
217,2,1,1,1,1,1,78083,50850700,27180708,560515
218,2,1,1,1,1,1,56951,36435336,20028579,404999
219,2,1,1,1,1,1,67310,44149516,23606286,465835
220,2,1,1,1,1,1,60727,37565778,20804887,425948
221,2,1,1,1,1,1,71254,44886998,24684291,497237
222,2,1,1,1,1,1,46303,27752102,16304084,321853
223,2,1,1,1,1,1,60726,38611326,21277523,432142
224,2,1,1,1,1,1,60108,38050790,21277901,415088
225,2,1,1,1,1,1,55969,34348136,19410414,385289
226,2,1,1,1,1,1,65336,39137468,22982659,446885
227,2,1,1,1,1,1,49926,30517790,16929809,333556
228,2,1,1,1,1,1,51197,35107920,17388095,318526
229,2,1,1,1,1,1,69646,46947014,23759591,438351
230,2,1,1,1,1,1,71002,48740506,23764804,456982
231,2,1,1,1,1,1,70184,46701576,23758085,451004
232,2,1,1,1,1,1,57110,38857166,19560089,379133
233,2,1,1,1,1,1,79199,69097168,27174508,517177
