sequence,obstacles,lux,has_video,required_files
3,1,100,1,dataset/3/optitrack.csv;dataset/3/imu.csv;dataset/3/radar.csv;dataset/3/3.avi
10,1,100,1,dataset/10/optitrack.csv;dataset/10/imu.csv;dataset/10/radar.csv;dataset/10/10.avi
1,1,100,1,dataset/1/optitrack.csv;dataset/1/imu.csv;dataset/1/radar.csv;dataset/1/1.avi
2,1,100,1,dataset/2/optitrack.csv;dataset/2/imu.csv;dataset/2/radar.csv;dataset/2/2.avi
4,1,100,1,dataset/4/optitrack.csv;dataset/4/imu.csv;dataset/4/radar.csv;dataset/4/4.avi
5,1,100,1,dataset/5/optitrack.csv;dataset/5/imu.csv;dataset/5/radar.csv;dataset/5/5.avi
6,1,100,1,dataset/6/optitrack.csv;dataset/6/imu.csv;dataset/6/radar.csv;dataset/6/6.avi
7,1,100,1,dataset/7/optitrack.csv;dataset/7/imu.csv;dataset/7/radar.csv;dataset/7/7.avi
8,1,100,1,dataset/8/optitrack.csv;dataset/8/imu.csv;dataset/8/radar.csv;dataset/8/8.avi
9,1,100,1,dataset/9/optitrack.csv;dataset/9/imu.csv;dataset/9/radar.csv;dataset/9/9.avi
11,1,100,1,dataset/11/optitrack.csv;dataset/11/imu.csv;dataset/11/radar.csv;dataset/11/11.avi
12,1,100,1,dataset/12/optitrack.csv;dataset/12/imu.csv;dataset/12/radar.csv;dataset/12/12.avi
13,1,100,1,dataset/13/optitrack.csv;dataset/13/imu.csv;dataset/13/radar.csv;dataset/13/13.avi
14,1,100,1,dataset/14/optitrack.csv;dataset/14/imu.csv;dataset/14/radar.csv;dataset/14/14.avi
15,1,100,1,dataset/15/optitrack.csv;dataset/15/imu.csv;dataset/15/radar.csv;dataset/15/15.avi
16,1,100,1,dataset/16/optitrack.csv;dataset/16/imu.csv;dataset/16/radar.csv;dataset/16/16.avi
17,1,100,1,dataset/17/optitrack.csv;dataset/17/imu.csv;dataset/17/radar.csv;dataset/17/17.avi
18,1,100,1,dataset/18/optitrack.csv;dataset/18/imu.csv;dataset/18/radar.csv;dataset/18/18.avi
19,1,100,1,dataset/19/optitrack.csv;dataset/19/imu.csv;dataset/19/radar.csv;dataset/19/19.avi
20,1,100,1,dataset/20/optitrack.csv;dataset/20/imu.csv;dataset/20/radar.csv;dataset/20/20.avi
21,1,100,1,dataset/21/optitrack.csv;dataset/21/imu.csv;dataset/21/radar.csv;dataset/21/21.avi
22,1,100,1,dataset/22/optitrack.csv;dataset/22/imu.csv;dataset/22/radar.csv;dataset/22/22.avi
23,1,100,1,dataset/23/optitrack.csv;dataset/23/imu.csv;dataset/23/radar.csv;dataset/23/23.avi
24,1,100,1,dataset/24/optitrack.csv;dataset/24/imu.csv;dataset/24/radar.csv;dataset/24/24.avi
25,1,100,1,dataset/25/optitrack.csv;dataset/25/imu.csv;dataset/25/radar.csv;dataset/25/25.avi
26,1,100,1,dataset/26/optitrack.csv;dataset/26/imu.csv;dataset/26/radar.csv;dataset/26/26.avi
27,1,100,1,dataset/27/optitrack.csv;dataset/27/imu.csv;dataset/27/radar.csv;dataset/27/27.avi
28,1,100,1,dataset/28/optitrack.csv;dataset/28/imu.csv;dataset/28/radar.csv;dataset/28/28.avi
29,1,100,1,dataset/29/optitrack.csv;dataset/29/imu.csv;dataset/29/radar.csv;dataset/29/29.avi
30,1,100,1,dataset/30/optitrack.csv;dataset/30/imu.csv;dataset/30/radar.csv;dataset/30/30.avi
31,1,100,1,dataset/31/optitrack.csv;dataset/31/imu.csv;dataset/31/radar.csv;dataset/31/31.avi
32,1,100,1,dataset/32/optitrack.csv;dataset/32/imu.csv;dataset/32/radar.csv;dataset/32/32.avi
33,1,100,1,dataset/33/optitrack.csv;dataset/33/imu.csv;dataset/33/radar.csv;dataset/33/33.avi
34,1,100,1,dataset/34/optitrack.csv;dataset/34/imu.csv;dataset/34/radar.csv;dataset/34/34.avi
35,1,100,1,dataset/35/optitrack.csv;dataset/35/imu.csv;dataset/35/radar.csv;dataset/35/35.avi
36,1,100,1,dataset/36/optitrack.csv;dataset/36/imu.csv;dataset/36/radar.csv;dataset/36/36.avi
37,1,100,1,dataset/37/optitrack.csv;dataset/37/imu.csv;dataset/37/radar.csv;dataset/37/37.avi
38,1,100,1,dataset/38/optitrack.csv;dataset/38/imu.csv;dataset/38/radar.csv;dataset/38/38.avi
39,1,100,1,dataset/39/optitrack.csv;dataset/39/imu.csv;dataset/39/radar.csv;dataset/39/39.avi
40,1,100,1,dataset/40/optitrack.csv;dataset/40/imu.csv;dataset/40/radar.csv;dataset/40/40.avi
41,1,100,1,dataset/41/optitrack.csv;dataset/41/imu.csv;dataset/41/radar.csv;dataset/41/41.avi
42,1,100,1,dataset/42/optitrack.csv;dataset/42/imu.csv;dataset/42/radar.csv;dataset/42/42.avi
43,1,100,1,dataset/43/optitrack.csv;dataset/43/imu.csv;dataset/43/radar.csv;dataset/43/43.avi
44,1,100,1,dataset/44/optitrack.csv;dataset/44/imu.csv;dataset/44/radar.csv;dataset/44/44.avi
45,1,100,1,dataset/45/optitrack.csv;dataset/45/imu.csv;dataset/45/radar.csv;dataset/45/45.avi
46,1,100,1,dataset/46/optitrack.csv;dataset/46/imu.csv;dataset/46/radar.csv;dataset/46/46.avi
47,1,100,1,dataset/47/optitrack.csv;dataset/47/imu.csv;dataset/47/radar.csv;dataset/47/47.avi
48,1,100,1,dataset/48/optitrack.csv;dataset/48/imu.csv;dataset/48/radar.csv;dataset/48/48.avi
49,1,100,1,dataset/49/optitrack.csv;dataset/49/imu.csv;dataset/49/radar.csv;dataset/49/49.avi
50,1,100,1,dataset/50/optitrack.csv;dataset/50/imu.csv;dataset/50/radar.csv;dataset/50/50.avi
51,1,100,1,dataset/51/optitrack.csv;dataset/51/imu.csv;dataset/51/radar.csv;dataset/51/51.avi
52,1,100,1,dataset/52/optitrack.csv;dataset/52/imu.csv;dataset/52/radar.csv;dataset/52/52.avi
53,1,100,1,dataset/53/optitrack.csv;dataset/53/imu.csv;dataset/53/radar.csv;dataset/53/53.avi
54,1,100,1,dataset/54/optitrack.csv;dataset/54/imu.csv;dataset/54/radar.csv;dataset/54/54.avi
55,1,100,1,dataset/55/optitrack.csv;dataset/55/imu.csv;dataset/55/radar.csv;dataset/55/55.avi
56,1,100,1,dataset/56/optitrack.csv;dataset/56/imu.csv;dataset/56/radar.csv;dataset/56/56.avi
57,1,100,1,dataset/57/optitrack.csv;dataset/57/imu.csv;dataset/57/radar.csv;dataset/57/57.avi
58,1,100,1,dataset/58/optitrack.csv;dataset/58/imu.csv;dataset/58/radar.csv;dataset/58/58.avi
59,1,100,1,dataset/59/optitrack.csv;dataset/59/imu.csv;dataset/59/radar.csv;dataset/59/59.avi
60,1,100,1,dataset/60/optitrack.csv;dataset/60/imu.csv;dataset/60/radar.csv;dataset/60/60.avi
61,1,100,1,dataset/61/optitrack.csv;dataset/61/imu.csv;dataset/61/radar.csv;dataset/61/61.avi
62,1,100,1,dataset/62/optitrack.csv;dataset/62/imu.csv;dataset/62/radar.csv;dataset/62/62.avi
63,1,100,1,dataset/63/optitrack.csv;dataset/63/imu.csv;dataset/63/radar.csv;dataset/63/63.avi
64,1,100,1,dataset/64/optitrack.csv;dataset/64/imu.csv;dataset/64/radar.csv;dataset/64/64.avi
65,1,100,1,dataset/65/optitrack.csv;dataset/65/imu.csv;dataset/65/radar.csv;dataset/65/65.avi
66,1,100,1,dataset/66/optitrack.csv;dataset/66/imu.csv;dataset/66/radar.csv;dataset/66/66.avi
67,1,100,1,dataset/67/optitrack.csv;dataset/67/imu.csv;dataset/67/radar.csv;dataset/67/67.avi
116,1,100,1,dataset/116/optitrack.csv;dataset/116/imu.csv;dataset/116/radar.csv;dataset/116/116.avi
117,1,100,1,dataset/117/optitrack.csv;dataset/117/imu.csv;dataset/117/radar.csv;dataset/117/117.avi
118,1,100,1,dataset/118/optitrack.csv;dataset/118/imu.csv;dataset/118/radar.csv;dataset/118/118.avi
119,1,100,1,dataset/119/optitrack.csv;dataset/119/imu.csv;dataset/119/radar.csv;dataset/119/119.avi
120,1,100,1,dataset/120/optitrack.csv;dataset/120/imu.csv;dataset/120/radar.csv;dataset/120/120.avi
121,1,100,1,dataset/121/optitrack.csv;dataset/121/imu.csv;dataset/121/radar.csv;dataset/121/121.avi
122,1,100,1,dataset/122/optitrack.csv;dataset/122/imu.csv;dataset/122/radar.csv;dataset/122/122.avi
123,1,100,1,dataset/123/optitrack.csv;dataset/123/imu.csv;dataset/123/radar.csv;dataset/123/123.avi
124,1,100,1,dataset/124/optitrack.csv;dataset/124/imu.csv;dataset/124/radar.csv;dataset/124/124.avi
