sequence,method,path_length_3d_m,duration_s,smoothness_3d_turn_angle,max_turn_angle_rad,curvature_energy,accel_energy,jerk_energy,planner_compute_time_ms,trajectory_points,metric_scope
1,human,7.2009,12.05,0.007745,0.870064,8.531956,7.550266,13449.013577,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
1,rrt,6.5457,12.05,0.0,0.0,0.0,0.0,0.0,1.7587,240,3d_arclength_resampled_path_geometry_no_velocity_command
1,rrt_star,6.5457,12.05,0.0,0.0,0.0,0.0,0.0,1.7866,240,3d_arclength_resampled_path_geometry_no_velocity_command
1,mppi,6.5457,12.05,0.0,0.0,0.0,0.0,0.0,89.9301,240,3d_arclength_resampled_path_geometry_no_velocity_command
2,human,6.5529,9.825,0.011261,0.813432,14.979088,14.969797,50191.285633,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
2,rrt,6.351,9.825,0.0,0.0,0.0,0.0,0.0,1.8224,240,3d_arclength_resampled_path_geometry_no_velocity_command
2,rrt_star,6.351,9.825,0.0,0.0,0.0,0.0,0.0,1.7993,240,3d_arclength_resampled_path_geometry_no_velocity_command
2,mppi,6.351,9.825,0.0,0.0,0.0,0.0,0.0,79.3825,240,3d_arclength_resampled_path_geometry_no_velocity_command
3,human,6.9595,8.925,0.00981,0.633089,11.569368,16.425254,49428.138617,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
3,rrt,6.888,8.925,0.000858,0.442496,1.032895,1.008621,1883.179141,2.0167,240,3d_arclength_resampled_path_geometry_no_velocity_command
3,rrt_star,6.8418,8.925,2.5e-05,0.067055,0.030868,0.030855,59.412475,1070.664,240,3d_arclength_resampled_path_geometry_no_velocity_command
3,mppi,6.863,8.925,4.8e-05,0.095222,0.058094,0.058049,113.78317,71.6008,240,3d_arclength_resampled_path_geometry_no_velocity_command
4,human,8.1675,14.8125,0.028371,1.241187,24.293407,25.337154,48942.355116,0.0,240,3d_arclength_resampled_path_geometry_no_velocity_command
4,rrt,7.3433,14.8125,0.000247,0.224759,0.261225,0.258895,359.742099,2.6224,240,3d_arclength_resampled_path_geometry_no_velocity_command
